area_code,year,urban_green_availability
ITCD,2014,40.9
ITCD,2015,41.0
ITCD,2016,41.1
ITCD,2017,41.1
ITCD,2018,41.1
ITCD,2019,41.1
ITCD,2020,41.5
ITCD,2021,42.0
ITCD,2022,42.4
ITCD,2023,42.4
ITD,2011,62.5
ITD,2012,62.4
ITD,2014,62.4
ITD,2015,62.6
ITD,2016,62.5
ITD,2017,62.5
ITD,2018,62.5
ITD,2019,62.5
ITD,2020,62.8
ITD,2021,63.5
ITD,2022,63.9
ITD,2023,64.0
ITD10,2011,234.7
ITD10,2012,232.8
ITD10,2013,230.5
ITD10,2014,229.4
ITD10,2015,228.7
ITD10,2016,227.9
ITD10,2017,226.9
ITD10,2018,226.9
ITD10,2019,225.2
ITD10,2020,225.4
ITD10,2021,226.8
ITD10,2022,227.9
ITD10,2023,228.4
ITD20,2011,411.3
ITD20,2012,409.4
ITD20,2013,406.3
ITD20,2014,404.1
ITD20,2015,403.1
ITD20,2016,401.9
ITD20,2017,399.7
ITD20,2018,399.7
ITD20,2019,394.9
ITD20,2020,396.2
ITD20,2021,401.0
ITD20,2022,402.0
ITD20,2023,400.9
ITD3,2012,34.2
ITD3,2013,34.2
ITD3,2014,34.4
ITD3,2015,34.8
ITD3,2016,34.9
ITD3,2017,34.9
ITD3,2018,34.9
ITD3,2019,34.9
ITD3,2020,35.2
ITD3,2021,35.7
ITD3,2022,36.4
ITD3,2023,36.8
ITD31,2011,27.0
ITD31,2012,27.0
ITD31,2013,26.9
ITD31,2014,26.9
ITD31,2015,26.9
ITD31,2016,26.9
ITD31,2017,26.9
ITD31,2018,26.9
ITD31,2019,26.8
ITD31,2020,27.0
ITD31,2021,27.5
ITD31,2022,27.6
ITD31,2023,28.0
ITD32,2011,23.0
ITD32,2012,23.1
ITD32,2013,23.1
ITD32,2014,23.4
ITD32,2015,24.0
ITD32,2016,24.1
ITD32,2017,24.2
ITD32,2018,24.2
ITD32,2019,24.8
ITD32,2020,24.7
ITD32,2021,25.6
ITD32,2022,25.8
ITD32,2023,28.4
ITD33,2011,24.5
ITD33,2012,24.6
ITD33,2013,24.8
ITD33,2014,24.8
ITD33,2015,24.9
ITD33,2016,25.0
ITD33,2017,25.0
ITD33,2018,25.0
ITD33,2019,24.9
ITD33,2020,25.0
ITD33,2021,25.1
ITD33,2022,25.1
ITD33,2023,25.0
ITD34,2011,21.9
ITD34,2012,21.7
ITD34,2013,21.6
ITD34,2014,21.4
ITD34,2015,21.4
ITD34,2016,21.3
ITD34,2017,21.3
ITD34,2018,21.3
ITD34,2019,21.1
ITD34,2020,21.2
ITD34,2021,21.4
ITD34,2022,23.9
ITD34,2023,24.0
ITD35,2011,42.8
ITD35,2012,43.3
ITD35,2013,43.3
ITD35,2014,44.2
ITD35,2015,45.2
ITD35,2016,45.4
ITD35,2017,45.5
ITD35,2018,45.5
ITD35,2019,45.8
ITD35,2020,46.4
ITD35,2021,47.0
ITD35,2022,48.3
ITD35,2023,48.5
ITD36,2011,43.6
ITD36,2012,43.7
ITD36,2013,43.9
ITD36,2014,43.7
ITD36,2015,44.0
ITD36,2016,44.2
ITD36,2017,44.2
ITD36,2018,44.2
ITD36,2019,44.0
ITD36,2020,44.3
ITD36,2021,44.7
ITD36,2022,45.1
ITD36,2023,44.9
ITD37,2011,35.3
ITD37,2012,35.2
ITD37,2013,35.2
ITD37,2014,35.1
ITD37,2015,35.5
ITD37,2016,35.7
ITD37,2017,35.9
ITD37,2018,35.9
ITD37,2019,36.5
ITD37,2020,36.8
ITD37,2021,37.5
ITD37,2022,37.9
ITD37,2023,38.0
ITD4,2012,55.3
ITD4,2013,55.3
ITD4,2014,55.4
ITD4,2015,55.7
ITD4,2016,55.9
ITD4,2017,55.8
ITD4,2018,55.7
ITD4,2019,55.7
ITD4,2020,56.0
ITD4,2021,56.4
ITD4,2022,56.6
ITD4,2023,56.5
ITD41,2011,42.2
ITD41,2012,42.3
ITD41,2013,42.7
ITD41,2014,43.1
ITD41,2015,43.7
ITD41,2016,44.8
ITD41,2017,44.7
ITD41,2018,44.7
ITD41,2019,44.1
ITD41,2020,44.3
ITD41,2021,44.3
ITD41,2022,44.1
ITD41,2023,44.0
ITD42,2011,21.6
ITD42,2012,21.5
ITD42,2013,21.4
ITD42,2014,21.4
ITD42,2015,21.5
ITD42,2016,21.5
ITD42,2017,21.4
ITD42,2018,21.4
ITD42,2019,21.4
ITD42,2020,21.7
ITD42,2021,22.1
ITD42,2022,22.1
ITD42,2023,22.1
ITD43,2011,133.3
ITD43,2012,133.6
ITD43,2013,134.2
ITD43,2014,135.0
ITD43,2015,136.1
ITD43,2016,136.9
ITD43,2017,137.9
ITD43,2018,137.9
ITD43,2019,139.6
ITD43,2020,139.2
ITD43,2021,139.1
ITD43,2022,140.2
ITD43,2023,140.2
ITD44,2011,61.3
ITD44,2012,61.5
ITD44,2013,61.5
ITD44,2014,61.6
ITD44,2015,61.7
ITD44,2016,61.8
ITD44,2017,61.7
ITD44,2018,61.7
ITD44,2019,61.7
ITD44,2020,62.0
ITD44,2021,62.4
ITD44,2022,62.7
ITD44,2023,62.7
ITD5,2012,45.5
ITD5,2013,45.3
ITD5,2014,45.7
ITD5,2015,45.7
ITD5,2016,45.6
ITD5,2017,45.6
ITD5,2018,45.7
ITD5,2019,45.7
ITD5,2020,45.9
ITD5,2021,46.6
ITD5,2022,46.9
ITD5,2023,46.8
ITD51,2011,26.4
ITD51,2012,26.3
ITD51,2013,26.2
ITD51,2014,28.1
ITD51,2015,28.2
ITD51,2016,28.2
ITD51,2017,28.1
ITD51,2018,28.1
ITD51,2019,27.8
ITD51,2020,27.9
ITD51,2021,28.2
ITD51,2022,28.4
ITD51,2023,28.4
ITD52,2011,95.0
ITD52,2012,93.9
ITD52,2013,92.4
ITD52,2014,91.0
ITD52,2015,89.7
ITD52,2016,88.5
ITD52,2017,87.5
ITD52,2018,87.5
ITD52,2019,86.1
ITD52,2020,86.6
ITD52,2021,88.6
ITD52,2022,88.4
ITD52,2023,87.8
ITD53,2011,59.2
ITD53,2012,58.6
ITD53,2013,57.9
ITD53,2014,57.8
ITD53,2015,58.0
ITD53,2016,57.8
ITD53,2017,57.7
ITD53,2018,57.7
ITD53,2019,57.4
ITD53,2020,57.5
ITD53,2021,57.9
ITD53,2022,57.9
ITD53,2023,57.7
ITD54,2011,76.6
ITD54,2012,76.3
ITD54,2013,75.9
ITD54,2014,75.5
ITD54,2015,75.3
ITD54,2016,75.1
ITD54,2017,74.8
ITD54,2018,74.8
ITD54,2019,73.8
ITD54,2020,74.3
ITD54,2021,75.2
ITD54,2022,75.5
ITD54,2023,75.6
ITD55,2011,20.4
ITD55,2012,20.5
ITD55,2013,20.3
ITD55,2014,21.1
