area_code,year,public_transport_access_value
028060,2002,138.7755102
028060,2003,135.97277264
028060,2004,137.85052852
028060,2005,138.45701578
028060,2006,133.58620984
028060,2007,139.14772376
028060,2008,147.27475605
028060,2009,147.931988
028060,2010,149.93901968
028060,2011,145.95946271
028060,2012,133.09539985
029041,2001,17.669806644
029041,2002,17.168234792
029041,2003,16.904750136
029041,2004,16.387798664
029041,2005,16.574477266
029041,2006,16.270019751
029041,2007,16.265066101
029041,2008,15.578491631
029041,2009,14.424463891
029041,2010,14.107195623
029041,2011,11.338914892
029041,2012,11.368646174
030129,2001,99.668471191
030129,2002,101.4394997
030129,2003,102.01319926
030129,2004,99.689508718
030129,2005,99.440646364
030129,2006,99.261740803
030129,2007,103.76612033
030129,2008,102.9596194
030129,2009,100.01511259
030129,2010,102.20730813
030129,2011,100.42247804
030129,2012,98.47025835
031007,2001,18.594671911
031007,2002,21.314138472
031007,2003,20.915724391
031007,2004,20.837921163
031007,2005,22.346062739
031007,2006,23.7498278
031007,2007,24.681110097
031007,2008,24.834896498
031007,2009,27.048063826
031007,2010,25.634595559
031007,2011,24.156275745
031007,2012,23.317862205
032006,2001,361.5679683
032006,2002,375.87378906
032006,2003,368.63013502
032006,2004,361.21316006
032006,2005,348.73053565
032006,2006,347.69250962
032006,2007,344.1184849
032006,2008,339.79308347
032006,2009,340.28778379
032006,2010,340.44830657
032006,2011,341.53419895
032006,2012,332.66946857
033032,2001,82.485281533
033032,2002,82.960873578
033032,2003,82.418648342
033032,2004,82.242215513
033032,2005,82.52304902
033032,2006,84.919458196
033032,2007,84.437574721
033032,2008,80.172618576
033032,2009,80.825569168
033032,2010,75.631517342
033032,2011,73.366047797
033032,2012,70.083139725
034027,2001,149.18353469
034027,2002,155.25019635
034027,2003,157.81608776
034027,2004,153.98275511
034027,2005,152.94352767
034027,2006,154.61177017
034027,2007,162.97391417
034027,2008,168.29360827
034027,2009,166.10332119
034027,2010,164.1515585
034027,2011,153.62361309
034027,2012,141.84389683
035033,2001,82.335926418
035033,2002,80.264664005
035033,2003,78.070772255
035033,2004,76.185176352
035033,2005,75.436929544
035033,2006,77.491275138
035033,2007,80.782616525
035033,2008,78.037053872
035033,2009,73.281489641
035033,2010,71.126585427
035033,2011,69.232884889
035033,2012,64.873206588
036023,2001,46.304096852
036023,2002,45.286490723
036023,2003,43.166843903
036023,2004,42.798564839
036023,2005,42.309729629
036023,2006,41.081794708
036023,2007,43.681270607
036023,2008,45.413330974
036023,2009,41.992650464
036023,2010,42.90643515
036023,2011,43.763179851
036023,2012,43.869703966
037006,2001,241.28146795
037006,2002,249.02438992
037006,2003,244.93240302
037006,2004,247.80604414
037006,2005,248.19024604
037006,2006,248.48112335
037006,2007,255.35837441
037006,2008,254.70556745
037006,2009,249.1637462
037006,2010,249.22597145
037006,2011,243.80410635
037006,2012,246.36024422
038008,2001,64.343755352
038008,2002,64.861926256
038008,2003,62.907571258
038008,2004,66.612936337
038008,2005,66.775601601
038008,2006,61.200293581
038008,2007,60.35868893
038008,2008,63.01691817
038008,2009,60.074750122
038008,2010,65.377900095
038008,2011,57.966198078
038008,2012,54.135004715
039014,2001,39.811075963
039014,2002,39.352167614
039014,2003,37.193575655
039014,2004,39.690919898
039014,2005,37.91632469
039014,2006,38.848666784
039014,2007,40.046905332
039014,2008,40.363947832
039014,2009,40.579858098
039014,2010,42.378509668
039014,2011,43.764583222
039014,2012,39.885826354
040012,2001,36.792610008
040012,2002,38.330780095
040012,2003,39.666075475
040012,2004,42.317684841
040012,2005,43.710820995
040012,2006,47.239497174
040012,2007,48.23731427
040012,2008,48.343157594
040012,2009,46.62942017
040012,2010,44.740090872
040012,2011,45.138844962
040012,2012,57.608942686
041044,2001,19.902702823
041044,2002,18.06156055
041044,2003,18.450204609
041044,2004,18.339154856
041044,2005,18.47361611
041044,2006,14.498183655
041044,2007,17.728090299
041044,2008,20.289314543
041044,2009,26.550826473
041044,2010,26.826826827
041044,2011,28.10518679
041044,2012,28.037236135
042002,2001,136.61015587
042002,2002,148.45727102
042002,2003,147.93984353
042002,2004,131.12883713
042002,2005,119.63134455
042002,2006,123.24064876
042002,2007,123.03355281
042002,2008,127.1041082
042002,2009,121.25063549
042002,2010,116.46668418
042002,2011,111.53498937
042002,2012,113.17200124
043023,2001,69.670496973
043023,2002,70.9505175
043023,2003,71.866107172
043023,2004,71.265678449
043023,2005,72.902580987
043023,2006,74.297377188
043023,2007,75.540578489
043023,2008,76.543439799
043023,2009,63.614592295
043023,2010,47.779030702
043023,2011,52.528210671
043023,2012,40.513088397
044007,2001,29.266118169
044007,2002,29.399166699
044007,2003,29.320957688
044007,2004,29.184383456
044007,2005,29.161556957
044007,2006,26.153920666
044007,2007,26.180041112
044007,2008,26.5583654
044007,2009,24.877607234
044007,2010,23.033867013
044007,2011,21.503688589
044007,2012,22.790055249
045010,2001,15.162079964
045010,2002,16.14352462
045010,2003,16.614730141
045010,2004,16.586828537
045010,2005,16.628415537
045010,2006,17.335838679
045010,2007,16.121051311
045010,2008,14.524813816
045010,2009,14.420629984
045010,2010,14.387372964
045010,2011,14.502752707
045010,2012,14.470560137
046017,2001,30.646259723
046017,2002,30.687882377
046017,2003,27.485872603
046017,2004,32.162818955
046017,2005,22.45693129
046017,2006,23.076876363
046017,2007,25.756467823
046017,2008,26.102954353
046017,2009,24.8658382
046017,2010,24.378018505
046017,2011,22.827886659
046017,2012,21.57786694
047014,2001,39.61781567
047014,2002,48.139264255
