area_code,year,healthcare_capacity
ITC,2018,8.71
ITC,2018,5006.0
ITC,2018,879279.0
ITC,2019,2.66
ITC,2019,0.12
ITC,2019,0.65
ITC,2019,3.43
ITC,2019,0.31
ITC,2019,454516.0
ITC,2019,28.42
ITC,2019,1642242.0
ITC,2019,18966.0
ITC,2019,142844.0
ITC,2019,1804052.0
ITC,2019,102.68
ITC,2019,1.19
ITC,2019,8.93
ITC,2019,112.8
ITC,2019,42532.0
ITC,2019,1928.0
ITC,2019,10380.0
ITC,2019,54840.0
ITC,2019,11855411.0
ITC,2019,541886.0
ITC,2019,3507763.0
ITC,2019,15905060.0
ITC,2019,7.22
ITC,2019,28.57
ITC,2019,24.56
ITC,2019,8.82
ITC,2019,5015.0
ITC,2019,920432.0
ITC,2020,2.66
ITC,2020,0.12
ITC,2020,0.65
ITC,2020,3.43
ITC,2020,0.31
ITC,2020,304282.0
ITC,2020,19.08
ITC,2020,1315656.0
ITC,2020,14260.0
ITC,2020,102166.0
ITC,2020,1432082.0
ITC,2020,82.52
ITC,2020,0.89
ITC,2020,6.41
ITC,2020,89.82
ITC,2020,42453.0
ITC,2020,1924.0
ITC,2020,10356.0
ITC,2020,54733.0
ITC,2020,10557564.0
ITC,2020,421704.0
ITC,2020,2658117.0
ITC,2020,13637385.0
ITC,2020,8.02
ITC,2020,29.57
ITC,2020,26.02
ITC,2020,9.52
ITC,2020,4945.0
ITC,2020,672310.0
ITC,2021,3.45
ITC,2021,0.12
ITC,2021,0.64
ITC,2021,4.21
ITC,2021,0.3
ITC,2021,378072.0
ITC,2021,23.83
ITC,2021,1389797.0
ITC,2021,12907.0
ITC,2021,101661.0
ITC,2021,1504365.0
ITC,2021,87.6
ITC,2021,0.81
ITC,2021,6.41
ITC,2021,94.82
ITC,2021,54669.0
ITC,2021,1876.0
ITC,2021,10171.0
ITC,2021,66716.0
ITC,2021,10739192.0
ITC,2021,374680.0
ITC,2021,2622812.0
ITC,2021,13736684.0
ITC,2021,7.73
ITC,2021,29.03
ITC,2021,25.8
ITC,2021,9.13
ITC,2021,4817.0
ITC,2021,808086.0
ITC1,2014,2.52
ITC1,2014,0.29
ITC1,2014,0.72
ITC1,2014,3.53
ITC1,2014,0.47
ITC1,2014,137751.0
ITC1,2014,31.32
ITC1,2014,445713.0
ITC1,2014,11337.0
ITC1,2014,36020.0
ITC1,2014,493070.0
ITC1,2014,101.34
ITC1,2014,2.58
ITC1,2014,8.19
ITC1,2014,112.1
ITC1,2014,11175.0
ITC1,2014,1279.0
ITC1,2014,3174.0
ITC1,2014,15628.0
ITC1,2014,3049115.0
ITC1,2014,401602.0
ITC1,2014,1022952.0
ITC1,2014,4473669.0
ITC1,2014,6.84
ITC1,2014,35.42
ITC1,2014,28.4
ITC1,2014,9.07
ITC1,2014,2075.0
ITC1,2014,327604.0
ITC1,2015,2.5
ITC1,2015,0.29
ITC1,2015,0.71
ITC1,2015,3.5
ITC1,2015,0.48
ITC1,2015,129222.0
ITC1,2015,29.27
ITC1,2015,443537.0
ITC1,2015,11095.0
ITC1,2015,35115.0
ITC1,2015,489747.0
ITC1,2015,100.48
ITC1,2015,2.51
ITC1,2015,7.95
ITC1,2015,110.94
ITC1,2015,11022.0
ITC1,2015,1280.0
ITC1,2015,3140.0
ITC1,2015,15442.0
ITC1,2015,3075923.0
ITC1,2015,402610.0
ITC1,2015,1003384.0
ITC1,2015,4481917.0
ITC1,2015,6.93
ITC1,2015,36.29
ITC1,2015,28.57
ITC1,2015,9.15
ITC1,2015,2097.0
ITC1,2015,293254.0
ITC1,2016,2.48
ITC1,2016,0.28
ITC1,2016,0.71
ITC1,2016,3.46
ITC1,2016,0.48
ITC1,2016,125197.0
ITC1,2016,28.46
ITC1,2016,434183.0
ITC1,2016,10256.0
ITC1,2016,35307.0
ITC1,2016,479746.0
ITC1,2016,98.71
ITC1,2016,2.33
ITC1,2016,8.03
ITC1,2016,109.07
ITC1,2016,10894.0
ITC1,2016,1212.0
ITC1,2016,3125.0
ITC1,2016,15231.0
ITC1,2016,2994246.0
ITC1,2016,368042.0
ITC1,2016,977782.0
ITC1,2016,4340070.0
ITC1,2016,6.9
ITC1,2016,35.89
ITC1,2016,27.69
ITC1,2016,9.05
ITC1,2016,2090.0
ITC1,2016,283265.0
ITC1,2017,2.4
ITC1,2017,0.23
ITC1,2017,0.72
ITC1,2017,3.34
ITC1,2017,0.45
ITC1,2017,121418.0
ITC1,2017,27.69
ITC1,2017,424904.0
ITC1,2017,8891.0
ITC1,2017,36403.0
ITC1,2017,470198.0
ITC1,2017,96.92
ITC1,2017,2.03
ITC1,2017,8.3
ITC1,2017,107.25
ITC1,2017,10509.0
ITC1,2017,1002.0
ITC1,2017,3146.0
ITC1,2017,14657.0
ITC1,2017,2990011.0
ITC1,2017,317683.0
ITC1,2017,976397.0
ITC1,2017,4284091.0
ITC1,2017,7.04
ITC1,2017,35.73
ITC1,2017,26.82
ITC1,2017,9.11
ITC1,2017,1974.0
ITC1,2017,287477.0
ITC1,2018,2.42
ITC1,2018,0.22
ITC1,2018,0.73
ITC1,2018,3.37
ITC1,2018,0.44
ITC1,2018,121177.0
ITC1,2018,27.75
ITC1,2018,423610.0
ITC1,2018,8923.0
ITC1,2018,38068.0
ITC1,2018,470601.0
ITC1,2018,97.02
ITC1,2018,2.04
ITC1,2018,8.72
ITC1,2018,107.78
ITC1,2018,10552.0
ITC1,2018,962.0
ITC1,2018,3193.0
ITC1,2018,14707.0
ITC1,2018,2999442.0
ITC1,2018,311505.0
ITC1,2018,1008431.0
ITC1,2018,4319378.0
ITC1,2018,7.08
ITC1,2018,34.91
ITC1,2018,26.49
ITC1,2018,9.18
ITC1,2018,1931.0
ITC1,2018,287009.0
ITC1,2019,2.42
ITC1,2019,0.21
ITC1,2019,0.74
ITC1,2019,3.37
ITC1,2019,0.45
ITC1,2019,122507.0
ITC1,2019,28.36
ITC1,2019,427436.0
ITC1,2019,8749.0
ITC1,2019,38545.0
ITC1,2019,474730.0
ITC1,2019,98.95
ITC1,2019,2.03
ITC1,2019,8.92
ITC1,2019,109.89
ITC1,2019,10464.0
ITC1,2019,905.0
ITC1,2019,3203.0
ITC1,2019,14572.0
ITC1,2019,2997707.0
ITC1,2019,311558.0
ITC1,2019,1021929.0
ITC1,2019,4331194.0
ITC1,2019,7.01
ITC1,2019,35.61
ITC1,2019,26.51
ITC1,2019,9.12
ITC1,2019,1941.0
ITC1,2019,294646.0
ITC1,2020,2.43
ITC1,2020,0.21
ITC1,2020,0.75
ITC1,2020,3.39
ITC1,2020,0.44
ITC1,2020,87503.0
ITC1,2020,20.38
ITC1,2020,351669.0
ITC1,2020,7159.0
ITC1,2020,29351.0
ITC1,2020,388179.0
ITC1,2020,81.92
ITC1,2020,1.67
ITC1,2020,6.84
ITC1,2020,90.42
ITC1,2020,10428.0
ITC1,2020,905.0
ITC1,2020,3201.0
ITC1,2020,14534.0
ITC1,2020,2708370.0
ITC1,2020,255656.0
ITC1,2020,803542.0
ITC1,2020,3767568.0
ITC1,2020,7.7
ITC1,2020,35.71
ITC1,2020,27.38
ITC1,2020,9.71
ITC1,2020,1908.0
ITC1,2020,215355.0
ITC1,2021,3.52
ITC1,2021,0.25
ITC1,2021,0.73
ITC1,2021,4.5
ITC1,2021,0.44
ITC1,2021,100779.0
ITC1,2021,23.63
ITC1,2021,378311.0
ITC1,2021,6811.0
ITC1,2021,29870.0
ITC1,2021,414992.0
ITC1,2021,88.69
ITC1,2021,1.6
ITC1,2021,7.0
ITC1,2021,97.29
ITC1,2021,15026.0
ITC1,2021,1056.0
ITC1,2021,3117.0
ITC1,2021,19199.0
ITC1,2021,2836201.0
ITC1,2021,219287.0
ITC1,2021,825502.0
ITC1,2021,3880990.0
ITC1,2021,7.5
ITC1,2021,32.2
ITC1,2021,27.64
ITC1,2021,9.35
ITC1,2021,1890.0
ITC1,2021,247636.0
ITC2,2014,2.9
ITC2,2014,0.12
ITC2,2014,0.59
ITC2,2014,3.6
ITC2,2014,0.4
ITC2,2014,7176.0
ITC2,2014,56.46
ITC2,2014,15857.0
ITC2,2014,209.0
ITC2,2014,943.0
ITC2,2014,17009.0
ITC2,2014,124.75
ITC2,2014,1.64
ITC2,2014,7.42
ITC2,2014,133.82
ITC2,2014,372.0
ITC2,2014,15.0
ITC2,2014,76.0
ITC2,2014,463.0
ITC2,2014,107429.0
ITC2,2014,5683.0
ITC2,2014,18693.0
ITC2,2014,131805.0
ITC2,2014,6.77
ITC2,2014,27.19
ITC2,2014,19.82
ITC2,2014,7.75
ITC2,2014,52.0
ITC2,2014,18681.0
ITC2,2015,2.99
ITC2,2015,0.13
ITC2,2015,0.57
ITC2,2015,3.69
ITC2,2015,0.41
ITC2,2015,7362.0
ITC2,2015,57.6
ITC2,2015,15376.0
ITC2,2015,225.0
ITC2,2015,1143.0
ITC2,2015,16744.0
ITC2,2015,120.3
ITC2,2015,1.76
ITC2,2015,8.94
ITC2,2015,131.0
ITC2,2015,382.0
ITC2,2015,16.0
ITC2,2015,73.0
ITC2,2015,471.0
ITC2,2015,105794.0
ITC2,2015,5925.0
ITC2,2015,22003.0
ITC2,2015,133722.0
ITC2,2015,6.88
ITC2,2015,26.33
ITC2,2015,19.25
ITC2,2015,7.99
ITC2,2015,53.0
ITC2,2015,20091.0
ITC2,2016,2.82
ITC2,2016,0.13
ITC2,2016,0.59
ITC2,2016,3.53
ITC2,2016,0.28
ITC2,2016,6060.0
ITC2,2016,47.68
ITC2,2016,14492.0
ITC2,2016,232.0
ITC2,2016,1140.0
ITC2,2016,15864.0
ITC2,2016,114.02
ITC2,2016,1.83
ITC2,2016,8.97
ITC2,2016,124.81
ITC2,2016,358.0
ITC2,2016,16.0
ITC2,2016,75.0
ITC2,2016,449.0
ITC2,2016,98587.0
ITC2,2016,5525.0
ITC2,2016,21205.0
ITC2,2016,125317.0
ITC2,2016,6.8
ITC2,2016,23.81
ITC2,2016,18.6
ITC2,2016,7.9
ITC2,2016,36.0
ITC2,2016,16729.0
ITC2,2017,2.84
ITC2,2017,0.13
ITC2,2017,0.59
ITC2,2017,3.56
ITC2,2017,0.32
ITC2,2017,5657.0
ITC2,2017,44.7
ITC2,2017,14080.0
ITC2,2017,215.0
ITC2,2017,1013.0
ITC2,2017,15308.0
ITC2,2017,111.27
ITC2,2017,1.7
ITC2,2017,8.01
ITC2,2017,120.97
ITC2,2017,360.0
ITC2,2017,16.0
ITC2,2017,75.0
ITC2,2017,451.0
ITC2,2017,100704.0
ITC2,2017,5228.0
ITC2,2017,19776.0
ITC2,2017,125708.0
ITC2,2017,7.15
ITC2,2017,24.32
ITC2,2017,19.52
ITC2,2017,8.21
ITC2,2017,41.0
ITC2,2017,16476.0
ITC2,2018,2.81
ITC2,2018,0.13
ITC2,2018,0.62
ITC2,2018,3.56
ITC2,2018,0.33
ITC2,2018,5594.0
ITC2,2018,44.42
ITC2,2018,13854.0
ITC2,2018,157.0
ITC2,2018,973.0
ITC2,2018,14984.0
ITC2,2018,110.01
ITC2,2018,1.25
ITC2,2018,7.73
ITC2,2018,118.98
ITC2,2018,354.0
ITC2,2018,16.0
ITC2,2018,78.0
ITC2,2018,448.0
ITC2,2018,105536.0
ITC2,2018,3852.0
ITC2,2018,18554.0
ITC2,2018,127942.0
ITC2,2018,7.62
ITC2,2018,24.54
ITC2,2018,19.07
ITC2,2018,8.54
ITC2,2018,41.0
ITC2,2018,16219.0
ITC2,2019,2.79
ITC2,2019,0.13
ITC2,2019,0.62
ITC2,2019,3.54
ITC2,2019,0.33
ITC2,2019,5178.0
ITC2,2019,41.31
ITC2,2019,13689.0
ITC2,2019,217.0
ITC2,2019,962.0
ITC2,2019,14868.0
ITC2,2019,109.21
ITC2,2019,1.73
ITC2,2019,7.67
ITC2,2019,118.62
ITC2,2019,350.0
ITC2,2019,16.0
ITC2,2019,78.0
ITC2,2019,444.0
ITC2,2019,104435.0
ITC2,2019,6013.0
ITC2,2019,18717.0
ITC2,2019,129165.0
ITC2,2019,7.63
ITC2,2019,27.71
ITC2,2019,19.46
ITC2,2019,8.69
ITC2,2019,41.0
ITC2,2019,16786.0
ITC2,2020,3.14
ITC2,2020,0.13
ITC2,2020,0.63
ITC2,2020,3.89
ITC2,2020,0.32
ITC2,2020,2892.0
ITC2,2020,23.22
ITC2,2020,11730.0
ITC2,2020,101.0
ITC2,2020,614.0
ITC2,2020,12445.0
ITC2,2020,94.17
ITC2,2020,0.81
ITC2,2020,4.93
ITC2,2020,99.91
ITC2,2020,391.0
ITC2,2020,16.0
ITC2,2020,78.0
ITC2,2020,485.0
ITC2,2020,101538.0
ITC2,2020,2504.0
ITC2,2020,10602.0
ITC2,2020,114644.0
ITC2,2020,8.66
ITC2,2020,24.79
ITC2,2020,17.27
ITC2,2020,9.21
ITC2,2020,40.0
ITC2,2020,11695.0
ITC2,2021,3.49
ITC2,2021,0.13
ITC2,2021,0.63
ITC2,2021,4.25
ITC2,2021,0.32
ITC2,2021,4006.0
ITC2,2021,32.38
ITC2,2021,12320.0
ITC2,2021,0.0
ITC2,2021,841.0
ITC2,2021,13161.0
ITC2,2021,99.58
ITC2,2021,0.0
ITC2,2021,6.8
ITC2,2021,106.37
ITC2,2021,432.0
ITC2,2021,16.0
ITC2,2021,78.0
ITC2,2021,526.0
ITC2,2021,107787.0
ITC2,2021,0.0
ITC2,2021,15393.0
ITC2,2021,123180.0
ITC2,2021,8.75
ITC2,2021,0.0
ITC2,2021,18.3
ITC2,2021,9.36
ITC2,2021,40.0
ITC2,2021,13073.0
ITC3,2014,2.63
ITC3,2014,0.11
ITC3,2014,0.48
ITC3,2014,3.22
ITC3,2014,0.43
ITC3,2014,90399.0
ITC3,2014,57.65
ITC3,2014,167610.0
ITC3,2014,2445.0
ITC3,2014,12757.0
ITC3,2014,182812.0
ITC3,2014,106.88
ITC3,2014,1.56
ITC3,2014,8.13
ITC3,2014,116.58
ITC3,2014,4172.0
ITC3,2014,172.0
ITC3,2014,767.0
ITC3,2014,5111.0
ITC3,2014,1333758.0
ITC3,2014,43064.0
ITC3,2014,242131.0
ITC3,2014,1618953.0
ITC3,2014,7.96
ITC3,2014,17.61
ITC3,2014,18.98
ITC3,2014,8.86
ITC3,2014,689.0
ITC3,2014,319067.0
ITC3,2015,2.62
ITC3,2015,0.16
ITC3,2015,0.41
ITC3,2015,3.19
ITC3,2015,0.42
ITC3,2015,85712.0
