area_code,year,cultural_sites
ITC,2011,0
ITC,2011,97924
ITC,2011,0
ITC,2011,18939
ITC,2011,78985
ITC,2011,540658
ITC,2011,0
ITC,2011,250
ITC,2011,540408
ITC,2011,0
ITC,2011,278593
ITC,2011,261815
ITC,2011,0
ITC,2011,0
ITC,2011,0
ITC,2011,0
ITC,2011,0
ITC,2011,0
ITC,2011,0
ITC,2011,638582
ITC,2011,0
ITC,2011,250
ITC,2011,638332
ITC,2011,0
ITC,2011,297532
ITC,2011,340800
ITC,2011,69366
ITC,2011,0
ITC,2011,0
ITC,2011,69366
ITC,2011,0
ITC,2011,69366
ITC,2011,0
ITC,2011,958578
ITC,2011,0
ITC,2011,432856
ITC,2011,525722
ITC,2011,125555
ITC,2011,373307
ITC,2011,26860
ITC,2011,210737
ITC,2011,0
ITC,2011,101276
ITC,2011,109461
ITC,2011,0
ITC,2011,109461
ITC,2011,0
ITC,2011,344465
ITC,2011,0
ITC,2011,121464
ITC,2011,223001
ITC,2011,0
ITC,2011,30726
ITC,2011,192275
ITC,2011,676963
ITC,2011,0
ITC,2011,676963
ITC,2011,0
ITC,2011,0
ITC,2011,0
ITC,2011,0
ITC,2011,0
ITC,2011,0
ITC,2011,0
ITC,2011,0
ITC,2011,0
ITC,2011,0
ITC,2011,0
ITC,2011,145249
ITC,2011,0
ITC,2011,0
ITC,2011,145249
ITC,2011,0
ITC,2011,37615
ITC,2011,107634
ITC,2011,5092435
ITC,2011,0
ITC,2011,2101883
ITC,2011,2990552
ITC,2011,132644
ITC,2011,1975998
ITC,2011,881910
ITC,2011,2687077
ITC,2011,0
ITC,2011,769324
ITC,2011,1917753
ITC,2011,7089
ITC,2011,1355523
ITC,2011,555141
ITC,2011,1023436
ITC,2011,0
ITC,2011,618609
ITC,2011,404827
ITC,2011,50548
ITC,2011,295770
ITC,2011,58509
ITC,2011,6021165
ITC,2011,0
ITC,2011,1223753
ITC,2011,4797412
ITC,2011,16320
ITC,2011,3779453
ITC,2011,1001639
ITC,2011,4747077
ITC,2011,0
ITC,2011,872472
ITC,2011,3874605
ITC,2011,2200
ITC,2011,2870766
ITC,2011,1001639
ITC,2011,1274088
ITC,2011,0
ITC,2011,351281
ITC,2011,922807
ITC,2011,14120
ITC,2011,908687
ITC,2011,0
ITC,2011,2095077
ITC,2011,0
ITC,2011,659509
ITC,2011,1435568
ITC,2011,3050
ITC,2011,1432518
ITC,2011,0
ITC,2011,689474
ITC,2011,0
ITC,2011,434490
ITC,2011,254984
ITC,2011,0
ITC,2011,254984
ITC,2011,0
ITC,2011,385845
ITC,2011,0
ITC,2011,332617
ITC,2011,53228
ITC,2011,0
ITC,2011,53228
ITC,2011,0
ITC,2011,611793
ITC,2011,0
ITC,2011,24604
