area_code,year,car_ownership_density
ITG14,2020,3176.4534664352477
ITG25,2020,2779.972885633649
ITG17,2020,3407.9208406791863
ITG18,2020,3112.53576931543
ITD52,2020,2770.182801716098
ITD35,2020,2534.303170444541
ITD36,2020,2826.998218896268
ITD37,2020,3178.8192042377405
ITG26,2020,2807.603927303113
ITE4,2020,2865.543003161523
ITE31,2020,2954.670548087626
ITE32,2020,2930.348822923459
ITF11,2020,3237.1738317757013
ITC44,2020,2721.4809640237513
ITC45,2020,2329.581868017211
ITE44,2020,2953.1283894759677
ITE45,2020,3426.3077185210427
ITF,2020,2859.3819667949774
ITE41,2020,3392.645417518227
ITE42,2020,3268.676658533752
ITF22,2020,3119.061911365942
ITC41,2020,2996.050108910593
ITC42,2020,2929.3973687830803
ITC43,2020,2817.5516072712335
ITF12,2020,3154.054093545889
ITE22,2020,3371.9994004154264
ITE3,2020,3045.483004581654
ITE1A,2020,3156.6461996269827
ITE43,2020,2744.1174548762774
ITC46,2020,2630.1484574520487
ITC47,2020,2757.24842506491
ITC48,2020,2867.703179069241
ITE34,2020,3182.635645379545
ITF13,2020,2860.6794464609798
ITF14,2020,3220.114683646015
ITF1,2020,3120.349053229576
ITF34,2020,2989.6940029853367
ITC33,2020,2373.0389472555144
ITC34,2020,2744.0535870469525
ITC4,2020,2650.9289614696977
ITF3,2020,2729.142748895677
ITE19,2020,3251.8648754758206
ITE14,2020,3430.3139302464324
ITE15,2020,2678.9941817695444
ITE33,2020,3160.4618924442284
ITC49,2020,2679.166354018159
ITC4A,2020,2731.0572500091025
ITC4B,2020,2974.1643132496483
ITE21,2020,3422.857902395344
ITF31,2020,2782.607036556514
ITF2,2020,3216.719930706968
ITF21,2020,3469.679909924401
ITF43,2020,2824.5112414467253
ITC31,2020,2749.89193395003
ITC32,2020,2902.9912184412733
ITF35,2020,2839.44714141451
ITF4,2020,2810.880817000436
ITE13,2020,3070.8451196643678
ITE,2020,3017.238202065651
ITE1,2020,3160.819631435998
ITE2,2020,3410.334154173895
ITD,2020,2981.4055518340488
ITD1,2020,3289.4428525048343
ITE17,2020,3005.347078890802
ITE18,2020,3278.9802724854508
ITF41,2020,2554.4682301905677
ITF32,2020,3062.5020511305834
ITF33,2020,2611.4912583571363
ITF6,2020,3058.80034041448
ITC2,2020,7367.125199362041
ITC20,2020,7367.125199362041
