area_code,year,self_employment_share
ITD44,2019,17.6
ITD44,2020,18.44
ITD44,2021,18.59
ITD44,2022,16.94
ITD44,2023,16.39
ITD44,2024,17.61
ITD44,2025,17.36
ITD5,2018,22.11
ITD5,2019,22.14
ITD5,2020,21.73
ITD5,2021,21.14
ITD5,2022,20.55
ITD5,2023,20.9
ITD5,2024,20.45
ITD5,2025,21.43
ITD51,2018,24.0
ITD51,2019,22.78
ITD51,2020,22.81
ITD51,2021,21.08
ITD51,2022,20.02
ITD51,2023,21.18
ITD51,2024,19.16
ITD51,2025,18.14
ITD52,2018,23.35
ITD52,2019,22.51
ITD52,2020,21.33
ITD52,2021,20.22
ITD52,2022,17.01
ITD52,2023,16.66
ITD52,2024,19.3
ITD52,2025,18.94
ITD53,2018,22.0
ITD53,2019,21.2
ITD53,2020,21.42
ITD53,2021,22.11
ITD53,2022,18.9
ITD53,2023,17.53
ITD53,2024,22.19
ITD53,2025,27.66
ITD54,2018,20.03
ITD54,2019,19.24
ITD54,2020,18.96
ITD54,2021,18.43
ITD54,2022,21.03
ITD54,2023,23.37
ITD54,2024,19.53
ITD54,2025,22.97
ITD55,2018,20.56
ITD55,2019,22.28
ITD55,2020,22.02
ITD55,2021,21.31
ITD55,2022,20.81
ITD55,2023,21.09
ITD55,2024,19.96
ITD55,2025,21.12
ITD56,2018,21.0
ITD56,2019,22.66
ITD56,2020,21.97
ITD56,2021,21.9
ITD56,2022,21.56
ITD56,2023,22.36
ITD56,2024,19.54
ITD56,2025,19.55
ITD57,2018,21.95
ITD57,2019,22.24
ITD57,2020,22.89
ITD57,2021,22.35
ITD57,2022,20.05
ITD57,2023,19.2
ITD57,2024,20.31
ITD57,2025,17.86
ITD58,2018,25.61
ITD58,2019,21.56
ITD58,2020,21.34
ITD58,2021,22.18
ITD58,2022,21.37
ITD58,2023,20.94
ITD58,2024,20.08
ITD58,2025,19.93
ITD59,2018,25.28
ITD59,2019,28.51
ITD59,2020,25.94
ITD59,2021,22.76
ITD59,2022,25.38
ITD59,2023,26.84
ITD59,2024,25.34
ITD59,2025,23.26
