area_code,year,youth_employment_rate
ITE,2020.0,22.345191
ITE,2021.0,27.19048
ITE,2022.0,29.579046
ITE,2023.0,28.864363
ITE,2024.0,27.771139
ITE,2025.0,29.503441
ITE1,2018.0,19.731606
ITE1,2019.0,20.204505
ITE1,2020.0,17.818336
ITE1,2021.0,19.503036
ITE1,2022.0,25.222548
ITE1,2023.0,23.617804
ITE1,2024.0,25.449741
ITE1,2025.0,21.719873
ITE11,2018.0,20.087719
ITE11,2019.0,22.914895
ITE11,2020.0,18.908685
ITE11,2021.0,14.344828
ITE11,2022.0,35.946524
ITE11,2023.0,33.965623
ITE11,2024.0,31.313007
ITE11,2025.0,19.65946
ITE12,2018.0,21.275057
ITE12,2019.0,18.120219
ITE12,2020.0,11.28046
ITE12,2021.0,21.195846
ITE12,2022.0,22.541939
ITE12,2023.0,25.375444
ITE12,2024.0,23.909235
ITE12,2025.0,16.930214
ITE13,2018.0,11.192102
ITE13,2019.0,14.133565
ITE13,2020.0,16.789048
ITE13,2021.0,18.850787
ITE13,2022.0,27.845252
ITE13,2023.0,25.492838
ITE13,2024.0,22.288776
ITE13,2025.0,20.948345
ITE14,2018.0,22.003262
ITE14,2019.0,21.403005
ITE14,2020.0,15.877419
ITE14,2021.0,17.089058
ITE14,2022.0,24.172108
ITE14,2023.0,19.550652
ITE14,2024.0,26.305178
ITE14,2025.0,19.654164
ITE15,2018.0,23.0948
ITE15,2019.0,32.900634
ITE15,2020.0,27.123253
ITE15,2021.0,20.128805
ITE15,2022.0,26.302034
ITE15,2023.0,31.615844
ITE15,2024.0,31.8288
ITE15,2025.0,27.106464
ITE16,2018.0,17.429194
ITE16,2019.0,18.791268
ITE16,2020.0,15.064398
ITE16,2021.0,23.681684
ITE16,2022.0,21.280045
ITE16,2023.0,19.305941
ITE16,2024.0,23.18453
ITE16,2025.0,23.36644
ITE17,2018.0,18.750852
ITE17,2019.0,15.895228
ITE17,2020.0,18.089778
ITE17,2021.0,19.591463
ITE17,2022.0,24.985961
ITE17,2023.0,28.104523
ITE17,2024.0,27.821862
ITE17,2025.0,29.488447
ITE18,2018.0,21.421351
ITE18,2019.0,18.083122
ITE18,2020.0,22.319764
ITE18,2021.0,21.535118
ITE18,2022.0,28.878617
ITE18,2023.0,19.198284
ITE18,2024.0,18.171221
ITE18,2025.0,19.155854
ITE19,2018.0,17.851085
ITE19,2019.0,17.873975
ITE19,2020.0,18.39511
ITE19,2021.0,15.827122
ITE19,2022.0,21.406475
ITE19,2023.0,22.346777
ITE19,2024.0,22.539816
ITE19,2025.0,20.80364
ITE1A,2018.0,18.687558
ITE1A,2019.0,24.824766
ITE1A,2020.0,22.952913
ITE1A,2021.0,27.641264
ITE1A,2022.0,25.052488
ITE1A,2023.0,24.37024
ITE1A,2024.0,28.728116
ITE1A,2025.0,22.789688
ITE2,2018.0,17.559103
ITE2,2019.0,17.956295
ITE2,2020.0,15.92774
ITE2,2021.0,16.045474
ITE2,2022.0,20.815111
ITE2,2023.0,18.67778
ITE2,2024.0,19.338671
ITE2,2025.0,19.352599
ITE21,2018.0,18.498134
ITE21,2019.0,19.263554
ITE21,2020.0,16.281309
ITE21,2021.0,16.070881
ITE21,2022.0,21.145345
ITE21,2023.0,20.890778
ITE21,2024.0,19.475413
ITE21,2025.0,19.962974
ITE22,2018.0,14.686347
ITE22,2019.0,14.010417
ITE22,2020.0,14.858184
ITE22,2021.0,15.968043
ITE22,2022.0,19.80198
ITE22,2023.0,11.865891
ITE22,2024.0,18.915737
ITE22,2025.0,17.459104
ITE3,2018.0,20.072985
ITE3,2019.0,19.561843
ITE3,2020.0,16.7188
ITE3,2021.0,20.683788
ITE3,2022.0,21.495633
ITE3,2023.0,20.000285
ITE3,2024.0,23.261642
ITE3,2025.0,18.727036
ITE31,2018.0,20.950871
ITE31,2019.0,20.403046
ITE31,2020.0,15.595971
ITE31,2021.0,24.954484
ITE31,2022.0,30.182837
ITE31,2023.0,25.344182
ITE31,2024.0,29.785059
ITE31,2025.0,19.788511
ITE32,2018.0,19.875177
ITE32,2019.0,16.684172
ITE32,2020.0,16.129107
ITE32,2021.0,19.401317
ITE32,2022.0,16.460197
ITE32,2023.0,15.190335
ITE32,2024.0,17.469253
ITE32,2025.0,16.80254
ITE33,2018.0,22.282251
ITE33,2019.0,22.687871
ITE33,2020.0,17.704342
ITE33,2021.0,18.593388
ITE33,2022.0,17.238717
ITE33,2023.0,19.066203
ITE33,2024.0,25.569611
ITE33,2025.0,21.846743
ITE34,2018.0,12.739367
ITE34,2019.0,17.979756
ITE34,2020.0,18.121937
ITE34,2021.0,18.382392
ITE34,2022.0,21.671843
ITE34,2023.0,20.479784
ITE34,2024.0,22.098492
ITE34,2025.0,15.188342
ITE4,2018.0,16.013283
ITE4,2019.0,15.808044
ITE4,2020.0,14.346143
ITE4,2021.0,15.196625
ITE4,2022.0,16.328752
ITE4,2023.0,18.316318
ITE4,2024.0,16.97026
ITE4,2025.0,13.862622
ITE41,2018.0,15.273879
ITE41,2019.0,9.762734
ITE41,2020.0,12.238467
ITE41,2021.0,12.651135
ITE41,2022.0,15.638976
ITE41,2023.0,18.876306
ITE41,2024.0,13.197881
ITE41,2025.0,12.958074
ITE42,2018.0,12.777235
ITE42,2019.0,19.998582
ITE42,2020.0,18.953632
ITE42,2021.0,22.2296
ITE42,2022.0,18.3761
ITE42,2023.0,27.968866
ITE42,2024.0,23.538597
ITE42,2025.0,18.927353
ITE43,2018.0,15.823972
ITE43,2019.0,16.167312
ITE43,2020.0,13.859349
ITE43,2021.0,14.508382
ITE43,2022.0,16.034348
ITE43,2023.0,17.604656
ITE43,2024.0,17.103311
ITE43,2025.0,14.417932
ITE44,2018.0,20.401852
ITE44,2019.0,17.789772
ITE44,2020.0,16.879702
ITE44,2021.0,18.887425
ITE44,2022.0,16.206709
ITE44,2023.0,19.240125
ITE44,2024.0,18.168991
ITE44,2025.0,14.02605
ITE45,2018.0,13.735667
ITE45,2019.0,12.655661
ITE45,2020.0,15.408826
ITE45,2021.0,16.214238
ITE45,2022.0,18.993885
ITE45,2023.0,20.417947
ITE45,2024.0,14.05945
ITE45,2025.0,7.080586
ITF1,2018.0,17.361715
ITF1,2019.0,15.384679
ITF1,2020.0,14.574151
ITF1,2021.0,14.897114
ITF1,2022.0,17.610452
ITF1,2023.0,19.368617
ITF1,2024.0,17.031868
ITF1,2025.0,16.611902
ITF11,2018.0,17.386766
ITF11,2019.0,13.345514
ITF11,2020.0,11.376432
ITF11,2021.0,13.873575
ITF11,2022.0,17.797584
ITF11,2023.0,18.406397
ITF11,2024.0,24.291594
ITF11,2025.0,22.902414
ITF12,2018.0,20.150961
ITF12,2019.0,13.520611
ITF12,2020.0,17.957033
ITF12,2021.0,20.354706
ITF12,2022.0,20.453659
ITF12,2023.0,19.259996
ITF12,2024.0,14.690503
ITF12,2025.0,11.84354
ITF13,2018.0,14.315016
ITF13,2019.0,13.178759
ITF13,2020.0,15.292314
ITF13,2021.0,13.617537
ITF13,2022.0,13.875091
ITF13,2023.0,16.131273
ITF13,2024.0,15.58998
ITF13,2025.0,16.367632
ITF14,2018.0,17.636118
ITF14,2019.0,20.341207
ITF14,2020.0,13.7158
ITF14,2021.0,12.319305
ITF14,2022.0,18.418532
ITF14,2023.0,22.99881
ITF14,2024.0,14.909847
ITF14,2025.0,16.119162
ITF2,2018.0,12.819551
ITF2,2019.0,10.946828
ITF2,2020.0,9.355762
ITF2,2021.0,15.960045
ITF2,2022.0,16.178976
ITF2,2023.0,14.342228
ITF2,2024.0,10.824531
ITF2,2025.0,14.556414
ITF21,2018.0,9.005784
ITF21,2019.0,11.738544
ITF21,2020.0,6.991412
ITF21,2021.0,19.311718
ITF21,2022.0,21.5521
ITF21,2023.0,6.433689
ITF21,2024.0,8.233206
