area_code,year,green_urban_space_per_capita
020030,2021,21.7
020030,2022,39.5
020030,2022,21.7
020030,2023,40.8
020030,2023,23.1
021008,2011,234.7
021008,2011,11.7
021008,2012,232.8
021008,2012,11.5
021008,2013,230.5
021008,2013,11.5
021008,2014,229.4
021008,2014,11.7
021008,2015,228.7
021008,2015,11.7
021008,2016,227.9
021008,2016,11.7
021008,2017,226.9
021008,2017,11.7
021008,2018,226.0
021008,2018,11.6
021008,2019,225.2
021008,2019,11.6
021008,2020,225.4
021008,2020,11.7
021008,2021,226.8
021008,2021,11.8
021008,2022,227.9
021008,2022,11.8
021008,2023,228.4
021008,2023,12.0
022205,2011,411.3
022205,2011,20.8
022205,2012,409.4
022205,2012,21.2
022205,2013,406.3
022205,2013,21.0
022205,2014,404.1
022205,2014,20.9
022205,2015,403.1
022205,2015,20.9
022205,2016,401.9
022205,2016,20.9
022205,2017,399.7
022205,2017,20.8
022205,2018,397.4
022205,2018,20.7
022205,2019,394.9
022205,2019,20.6
022205,2020,396.2
022205,2020,20.6
022205,2021,401.0
022205,2021,21.1
022205,2022,402.0
022205,2022,21.1
022205,2023,400.9
022205,2023,21.1
023091,2011,27.0
023091,2011,25.0
023091,2012,27.0
023091,2012,24.4
023091,2013,26.9
023091,2013,24.9
023091,2014,26.9
023091,2014,24.3
023091,2015,26.9
023091,2015,24.3
023091,2016,26.9
023091,2016,24.3
023091,2017,26.9
023091,2017,25.2
023091,2018,26.9
023091,2018,24.3
023091,2019,26.8
023091,2019,24.2
023091,2020,27.0
023091,2020,25.2
023091,2021,27.5
023091,2021,24.8
023091,2022,27.6
023091,2022,24.9
023091,2023,28.0
023091,2023,25.3
024116,2011,23.0
024116,2011,19.8
024116,2012,23.1
024116,2012,18.4
024116,2013,23.1
024116,2013,19.9
024116,2014,23.4
024116,2014,19.3
024116,2015,24.0
024116,2015,19.3
024116,2016,24.1
024116,2016,19.4
024116,2017,24.2
024116,2017,20.5
024116,2018,24.4
024116,2018,19.6
024116,2019,24.8
024116,2019,20.0
024116,2020,24.7
024116,2020,21.5
024116,2021,25.6
024116,2021,20.0
024116,2022,25.8
024116,2022,20.2
024116,2023,28.4
024116,2023,20.2
025006,2011,24.5
025006,2011,24.5
025006,2012,24.6
025006,2012,24.6
025006,2013,24.8
025006,2013,24.8
025006,2014,24.8
025006,2014,24.9
025006,2015,24.9
025006,2015,24.9
025006,2016,25.0
025006,2016,25.0
025006,2017,25.0
025006,2017,25.0
025006,2018,25.0
025006,2018,25.0
025006,2019,24.9
025006,2019,24.9
025006,2020,25.0
025006,2020,25.0
025006,2021,25.1
025006,2021,25.1
025006,2022,25.1
025006,2022,25.1
025006,2023,25.0
025006,2023,25.0
026086,2011,21.9
026086,2011,21.4
026086,2012,21.7
026086,2012,20.9
026086,2013,21.6
026086,2013,21.1
026086,2014,21.4
026086,2014,20.6
026086,2015,21.4
026086,2015,20.6
026086,2016,21.3
026086,2016,20.5
026086,2017,21.3
026086,2017,20.9
026086,2018,21.1
026086,2018,20.4
026086,2019,21.1
026086,2019,20.3
026086,2020,21.2
026086,2020,20.7
026086,2021,21.4
026086,2021,20.5
026086,2022,23.9
026086,2022,22.2
026086,2023,24.0
026086,2023,22.3
027042,2011,42.8
027042,2011,36.6
027042,2012,43.3
027042,2012,33.5
027042,2013,43.3
027042,2013,37.1
027042,2014,44.2
027042,2014,33.9
027042,2015,45.2
027042,2015,33.9
027042,2016,45.4
027042,2016,34.0
027042,2017,45.5
027042,2017,39.2
027042,2018,45.6
027042,2018,34.2
027042,2019,45.8
027042,2019,34.3
027042,2020,46.4
027042,2020,40.0
027042,2021,47.0
027042,2021,35.1
027042,2022,48.3
027042,2022,35.4
027042,2023,48.5
027042,2023,35.5
028060,2011,43.6
028060,2011,30.7
028060,2012,43.7
028060,2012,32.6
028060,2013,43.9
028060,2013,30.9
028060,2014,43.7
028060,2014,33.0
028060,2015,44.0
028060,2015,33.0
028060,2016,44.2
028060,2016,33.1
028060,2017,44.2
028060,2017,31.0
028060,2018,44.1
028060,2018,33.0
028060,2019,44.0
028060,2019,33.0
028060,2020,44.3
028060,2020,31.3
028060,2021,44.7
