area_code,year,pm10_annual_avg
ITD3,2019,7.0
ITD3,2020,6.0
ITD3,2021,7.0
ITD3,2022,7.0
ITD3,2023,6.0
ITD31,2013,36.0
ITD31,2014,29.0
ITD31,2015,39.0
ITD31,2016,30.0
ITD31,2017,34.0
ITD31,2018,31.0
ITD31,2019,33.0
ITD31,2020,33.0
ITD31,2021,31.0
ITD31,2022,33.0
ITD31,2023,32.0
ITD32,2013,37.0
ITD32,2014,36.0
ITD32,2015,43.0
ITD32,2016,36.0
ITD32,2017,40.0
ITD32,2018,34.0
ITD32,2019,33.0
ITD32,2020,33.0
ITD32,2021,30.0
ITD32,2022,33.0
ITD32,2023,32.0
ITD33,2013,18.0
ITD33,2014,16.0
ITD33,2015,19.0
ITD33,2016,21.0
ITD33,2017,24.0
ITD33,2018,22.0
ITD33,2019,22.0
ITD33,2020,20.0
ITD33,2021,21.0
ITD33,2022,22.0
ITD33,2023,20.0
ITD34,2013,34.0
ITD34,2014,30.0
ITD34,2015,41.0
ITD34,2016,38.0
ITD34,2017,37.0
ITD34,2018,34.0
ITD34,2019,32.0
ITD34,2020,33.0
ITD34,2021,32.0
ITD34,2022,34.0
ITD34,2023,32.0
ITD35,2013,37.0
ITD35,2014,37.0
ITD35,2015,42.0
ITD35,2016,39.0
ITD35,2017,40.0
ITD35,2018,37.0
ITD35,2019,34.0
ITD35,2020,37.0
ITD35,2021,33.0
ITD35,2022,34.0
ITD35,2023,33.0
ITD36,2013,36.0
ITD36,2014,32.0
ITD36,2015,40.0
ITD36,2016,37.0
ITD36,2017,42.0
ITD36,2018,37.0
ITD36,2019,37.0
ITD36,2020,37.0
ITD36,2021,33.0
ITD36,2022,35.0
ITD36,2023,34.0
ITD37,2013,35.0
ITD37,2014,31.0
ITD37,2015,36.0
ITD37,2016,32.0
ITD37,2017,37.0
ITD37,2018,32.0
ITD37,2019,34.0
ITD37,2020,34.0
ITD37,2021,30.0
ITD37,2022,32.0
ITD37,2023,31.0
ITD4,2013,3.0
ITD4,2014,3.0
ITD4,2015,4.0
ITD4,2016,2.0
ITD4,2017,3.0
ITD4,2018,2.0
ITD4,2019,2.0
ITD4,2020,2.0
ITD4,2021,1.0
ITD4,2022,3.0
ITD4,2023,2.0
ITD41,2013,24.0
ITD41,2014,24.0
ITD41,2015,28.0
ITD41,2016,25.0
ITD41,2017,26.0
ITD41,2018,23.0
ITD41,2019,25.0
ITD41,2020,26.0
ITD41,2021,22.0
ITD41,2022,23.0
ITD41,2023,23.0
ITD42,2013,27.0
ITD42,2014,22.0
ITD42,2015,28.0
ITD42,2016,23.0
ITD42,2017,23.0
ITD42,2018,21.0
ITD42,2019,21.0
ITD42,2020,21.0
ITD42,2021,19.0
ITD42,2022,22.0
ITD42,2023,23.0
ITD43,2013,20.0
ITD43,2014,20.0
ITD43,2015,24.0
ITD43,2016,20.0
ITD43,2017,19.0
ITD43,2018,18.0
ITD43,2019,18.0
ITD43,2020,19.0
ITD43,2021,17.0
ITD43,2022,20.0
ITD43,2023,18.0
ITD44,2013,26.0
ITD44,2014,21.0
ITD44,2015,26.0
ITD44,2016,20.0
ITD44,2017,22.0
ITD44,2018,20.0
ITD44,2019,19.0
ITD44,2020,19.0
ITD44,2021,19.0
ITD44,2022,21.0
ITD44,2023,19.0
ITD5,2013,9.0
ITD5,2014,9.0
ITD5,2015,9.0
ITD5,2016,9.0
ITD5,2017,9.0
ITD5,2018,9.0
ITD5,2019,9.0
ITD5,2020,9.0
ITD5,2021,9.0
ITD5,2022,9.0
ITD5,2023,9.0
ITD51,2013,35.0
ITD51,2014,32.0
ITD51,2015,37.0
ITD51,2016,30.0
ITD51,2017,38.0
ITD51,2018,33.0
ITD51,2019,32.0
ITD51,2020,31.0
ITD51,2021,31.0
ITD51,2022,32.0
ITD51,2023,29.0
ITD52,2013,37.0
ITD52,2014,35.0
ITD52,2015,36.0
ITD52,2016,29.0
ITD52,2017,36.0
ITD52,2018,32.0
ITD52,2019,30.0
ITD52,2020,30.0
ITD52,2021,30.0
ITD52,2022,30.0
ITD52,2023,27.0
ITD53,2013,35.0
ITD53,2014,33.0
ITD53,2015,37.0
ITD53,2016,33.0
ITD53,2017,40.0
ITD53,2018,35.0
ITD53,2019,32.0
ITD53,2020,32.0
ITD53,2021,33.0
ITD53,2022,35.0
ITD53,2023,30.0
ITD54,2013,31.0
ITD54,2014,28.0
ITD54,2015,33.0
ITD54,2016,30.0
ITD54,2017,38.0
ITD54,2018,33.0
ITD54,2019,33.0
ITD54,2020,33.0
ITD54,2021,33.0
ITD54,2022,36.0
ITD54,2023,30.0
ITD55,2013,32.0
ITD55,2014,25.0
ITD55,2015,29.0
ITD55,2016,26.0
ITD55,2017,29.0
ITD55,2018,26.0
ITD55,2019,26.0
ITD55,2020,26.0
ITD55,2021,26.0
ITD55,2022,27.0
ITD55,2023,22.0
ITD56,2013,30.0
ITD56,2014,29.0
ITD56,2015,33.0
ITD56,2016,30.0
ITD56,2017,35.0
ITD56,2018,31.0
ITD56,2019,32.0
ITD56,2020,34.0
ITD56,2021,31.0
ITD56,2022,30.0
ITD56,2023,28.0
ITD57,2013,27.0
ITD57,2014,25.0
ITD57,2015,30.0
ITD57,2016,26.0
ITD57,2017,29.0
ITD57,2018,27.0
ITD57,2019,30.0
ITD57,2020,29.0
ITD57,2021,27.0
ITD57,2022,29.0
ITD57,2023,26.0
ITD58,2013,26.0
ITD58,2014,23.0
ITD58,2015,28.0
ITD58,2016,25.0
ITD58,2017,26.0
ITD58,2018,26.0
ITD58,2019,27.0
ITD58,2020,25.0
ITD58,2021,24.0
ITD58,2022,26.0
ITD58,2023,23.0
ITD59,2013,35.0
ITD59,2014,31.0
ITD59,2015,36.0
ITD59,2016,32.0
ITD59,2017,32.0
ITD59,2018,31.0
ITD59,2019,30.0
ITD59,2020,31.0
ITD59,2021,28.0
ITD59,2022,30.0
ITD59,2023,27.0
ITDA,2013,1.0
ITDA,2014,1.0
ITDA,2015,2.0
ITDA,2016,1.0
ITDA,2017,2.0
ITDA,2018,1.0
ITDA,2019,1.0
ITDA,2020,1.0
ITDA,2021,1.0
ITDA,2022,1.0
ITDA,2023,1.0
ITE,2013,16.0
ITE,2014,16.0
ITE,2015,17.0
ITE,2016,17.0
ITE,2017,14.0
ITE,2018,14.0
ITE,2019,15.0
ITE,2020,15.0
ITE,2021,13.0
ITE,2022,18.0
ITE,2023,14.0
ITE1,2013,9.0
ITE1,2014,8.0
ITE1,2015,8.0
ITE1,2016,9.0
ITE1,2017,7.0
ITE1,2018,7.0
ITE1,2019,7.0
ITE1,2020,7.0
ITE1,2021,6.0
ITE1,2022,9.0
ITE1,2023,7.0
ITE11,2013,24.0
