area_code,year,water_quality
067041,2017,401.8
067041,2017,21963.4
067041,2017,155.1
067041,2017,8476.9
067041,2017,246.7
067041,2017,13486.4
067041,2018,406.9
067041,2018,22152.4
067041,2018,149.2
067041,2018,8122.4
067041,2018,257.7
067041,2018,14030.0
067041,2019,393.0
067041,2019,21307.6
067041,2019,146.4
067041,2019,7937.0
067041,2019,246.6
067041,2019,13370.6
067041,2020,424.3
067041,2020,22587.6
067041,2020,129.2
067041,2020,6877.3
067041,2020,295.1
067041,2020,15710.3
067041,2021,421.4
067041,2021,21983.7
067041,2021,118.5
067041,2021,6181.8
067041,2021,302.9
067041,2021,15802.0
067041,2022,411.3
067041,2022,21282.1
067041,2022,113.0
067041,2022,5847.0
067041,2022,298.3
067041,2022,15435.1
067041,2023,431.6
067041,2023,22287.6
067041,2023,120.7
067041,2023,6233.9
067041,2023,310.9
067041,2023,16053.7
068028,2010,577.6
068028,2010,70010.9
068028,2010,440.7
068028,2010,53408.1
068028,2010,137.0
068028,2010,16602.7
068028,2011,572.7
068028,2011,69457.2
068028,2011,410.1
068028,2011,49735.8
068028,2011,162.6
068028,2011,19721.4
068028,2012,580.6
068028,2012,70406.8
068028,2012,391.1
068028,2012,47429.6
068028,2012,189.5
068028,2012,22977.2
068028,2013,555.3
068028,2013,67486.3
068028,2013,394.4
068028,2013,47938.9
068028,2013,160.8
068028,2013,19547.4
068028,2014,566.7
068028,2014,68957.7
068028,2014,386.6
068028,2014,47043.1
068028,2014,180.1
068028,2014,21914.6
068028,2015,566.6
068028,2015,68842.1
068028,2015,381.9
068028,2015,46399.2
068028,2015,184.7
068028,2015,22442.9
068028,2016,568.1
068028,2016,68884.4
068028,2016,369.2
068028,2016,44765.1
068028,2016,198.9
068028,2016,24119.4
068028,2017,578.3
068028,2017,69740.5
068028,2017,368.8
068028,2017,44471.8
068028,2017,209.5
068028,2017,25268.7
068028,2018,578.7
068028,2018,69597.6
068028,2018,334.4
068028,2018,40222.2
068028,2018,244.2
068028,2018,29375.4
068028,2019,578.2
068028,2019,69474.7
068028,2019,306.7
068028,2019,36851.0
068028,2019,271.5
068028,2019,32623.7
068028,2020,549.3
068028,2020,65533.2
068028,2020,287.3
068028,2020,34284.1
068028,2020,261.9
068028,2020,31249.1
068028,2021,551.2
068028,2021,65527.2
068028,2021,294.6
068028,2021,35019.9
068028,2021,256.6
068028,2021,30507.4
068028,2022,524.6
068028,2022,62383.3
068028,2022,278.7
068028,2022,33139.9
068028,2022,245.9
068028,2022,29243.4
068028,2023,510.6
068028,2023,60581.3
068028,2023,265.2
068028,2023,31459.2
068028,2023,245.5
068028,2023,29122.1
069022,2010,594.0
069022,2010,31322.1
069022,2010,452.1
069022,2010,23839.9
069022,2010,141.9
069022,2010,7482.2
069022,2011,536.7
069022,2011,28277.0
069022,2011,288.2
069022,2011,15185.7
069022,2011,248.5
069022,2011,13091.2
069022,2012,518.3
069022,2012,27273.5
069022,2012,206.4
069022,2012,10859.9
069022,2012,311.9
069022,2012,16413.6
069022,2013,450.8
069022,2013,23656.8
069022,2013,184.0
069022,2013,9654.5
069022,2013,266.8
069022,2013,14002.2
069022,2014,464.7
069022,2014,24247.1
069022,2014,193.3
069022,2014,10087.8
069022,2014,271.4
069022,2014,14159.3
069022,2015,508.1
069022,2015,26322.4
069022,2015,205.7
069022,2015,10654.2
069022,2015,302.4
069022,2015,15668.2
069022,2016,511.0
069022,2016,26252.2
069022,2016,179.2
069022,2016,9208.4
069022,2016,331.7
069022,2016,17043.8
069022,2017,527.1
069022,2017,26811.3
069022,2017,208.4
069022,2017,10600.2
069022,2017,318.7
069022,2017,16211.1
069022,2018,535.1
069022,2018,27044.8
069022,2018,188.9
069022,2018,9548.8
069022,2018,346.2
069022,2018,17495.9
069022,2019,528.7
069022,2019,26638.2
069022,2019,171.9
069022,2019,8661.0
069022,2019,356.8
069022,2019,17977.2
069022,2020,492.6
069022,2020,24488.6
069022,2020,142.1
069022,2020,7062.8
069022,2020,350.5
069022,2020,17425.8
069022,2021,498.4
069022,2021,24373.7
069022,2021,150.6
069022,2021,7362.4
069022,2021,347.9
069022,2021,17011.3
069022,2022,509.6
069022,2022,24789.3
069022,2022,159.4
069022,2022,7754.5
069022,2022,350.2
069022,2022,17034.8
069022,2023,527.5
069022,2023,25621.0
069022,2023,167.6
069022,2023,8142.9
069022,2023,359.8
069022,2023,17478.1
070006,2010,471.7
070006,2010,23201.1
070006,2010,414.6
070006,2010,20393.1
070006,2010,57.1
070006,2010,2808.1
070006,2011,475.7
070006,2011,23303.1
070006,2011,419.1
070006,2011,20530.3
070006,2011,56.6
070006,2011,2772.7
070006,2012,447.9
070006,2012,21870.9
070006,2012,395.6
070006,2012,19313.6
070006,2012,52.4
070006,2012,2557.3
070006,2013,430.7
070006,2013,21034.6
070006,2013,375.2
070006,2013,18325.0
070006,2013,55.5
070006,2013,2709.6
070006,2014,435.5
070006,2014,21261.2
070006,2014,373.6
070006,2014,18240.1
070006,2014,61.9
070006,2014,3021.1
070006,2015,445.3
070006,2015,21705.0
070006,2015,387.8
070006,2015,18899.8
070006,2015,57.6
070006,2015,2805.1
070006,2016,439.5
070006,2016,21418.8
070006,2016,378.3
070006,2016,18437.6
070006,2016,61.2
070006,2016,2981.2
070006,2017,454.8
070006,2017,22162.8
070006,2017,393.2
070006,2017,19157.6
070006,2017,61.7
070006,2017,3005.1
070006,2018,447.9
070006,2018,21818.3
070006,2018,349.1
070006,2018,17005.7
070006,2018,98.8
070006,2018,4812.6
070006,2019,441.9
070006,2019,21434.5
070006,2019,315.6
070006,2019,15310.4
070006,2019,126.3
070006,2019,6124.1
070006,2020,421.5
070006,2020,20205.6
070006,2020,274.6
070006,2020,13163.8
070006,2020,146.9
070006,2020,7041.8
070006,2021,425.5
070006,2021,20238.0
070006,2021,262.1
070006,2021,12464.0
070006,2021,163.5
070006,2021,7773.9
070006,2022,401.7
070006,2022,19058.8
070006,2022,223.7
070006,2022,10613.6
070006,2022,178.0
070006,2022,8445.2
070006,2023,379.1
070006,2023,17956.1
070006,2023,180.2
070006,2023,8535.2
070006,2023,198.9
070006,2023,9420.9
071024,2010,538.4
071024,2010,82203.1
071024,2010,489.4
071024,2010,74713.7
071024,2010,49.1
071024,2010,7489.4
071024,2011,601.8
071024,2011,91657.6
071024,2011,583.7
071024,2011,88891.9
071024,2011,18.2
071024,2011,2765.6
071024,2012,486.2
071024,2012,73916.4
071024,2012,468.1
071024,2012,71163.1
071024,2012,18.1
071024,2012,2753.3
071024,2013,406.2
071024,2013,61731.3
071024,2013,390.5
071024,2013,59350.8
071024,2013,15.7
071024,2013,2380.5
071024,2014,456.9
071024,2014,69325.6
071024,2014,428.3
071024,2014,64993.2
071024,2014,28.6
071024,2014,4332.4
071024,2015,452.9
071024,2015,68495.0
071024,2015,417.7
071024,2015,63172.4
071024,2015,35.2
071024,2015,5322.6
071024,2016,449.9
071024,2016,67915.4
071024,2016,390.3
071024,2016,58916.7
071024,2016,59.6
071024,2016,8998.7
071024,2017,496.1
071024,2017,74849.3
071024,2017,377.7
071024,2017,56993.0
071024,2017,118.3
071024,2017,17856.3
071024,2018,509.9
071024,2018,76865.3
071024,2018,402.8
071024,2018,60721.3
071024,2018,107.1
071024,2018,16144.0
071024,2019,501.7
071024,2019,75333.5
071024,2019,389.0
071024,2019,58412.9
071024,2019,112.7
071024,2019,16920.6
071024,2020,499.0
071024,2020,74129.3
071024,2020,404.0
071024,2020,60016.9
071024,2020,95.0
071024,2020,14112.4
071024,2021,501.5
071024,2021,73782.4
071024,2021,405.2
071024,2021,59625.9
071024,2021,96.2
071024,2021,14156.6
071024,2022,544.8
071024,2022,79764.2
071024,2022,403.4
071024,2022,59066.8
071024,2022,141.4
071024,2022,20697.4
071024,2023,453.8
071024,2023,66180.4
071024,2023,374.3
071024,2023,54589.5
071024,2023,79.5
071024,2023,11590.9
072006,2010,616.7
072006,2010,196024.4
072006,2010,502.2
072006,2010,159627.6
072006,2010,114.5
072006,2010,36396.8
072006,2011,590.5
072006,2011,188033.7
072006,2011,485.9
072006,2011,154722.1
072006,2011,104.6
072006,2011,33311.6
072006,2012,579.2
072006,2012,184225.9
072006,2012,461.9
072006,2012,146930.3
072006,2012,117.3
072006,2012,37295.6
072006,2013,586.7
072006,2013,186687.0
072006,2013,461.5
072006,2013,146822.3
072006,2013,125.3
072006,2013,39864.7
072006,2014,580.9
072006,2014,184896.4
072006,2014,424.0
072006,2014,134939.1
072006,2014,157.0
072006,2014,49957.3
072006,2015,575.7
072006,2015,183164.3
072006,2015,382.0
072006,2015,121514.8
072006,2015,193.8
072006,2015,61649.5
072006,2016,602.5
072006,2016,191328.1
072006,2016,381.6
072006,2016,121168.2
072006,2016,220.9
072006,2016,70159.9
072006,2017,621.9
072006,2017,197035.6
072006,2017,373.6
072006,2017,118351.8
072006,2017,248.4
072006,2017,78683.8
072006,2018,623.3
072006,2018,197346.2
072006,2018,357.6
072006,2018,113220.6
072006,2018,265.7
072006,2018,84125.6
072006,2019,599.4
072006,2019,189358.4
072006,2019,340.6
072006,2019,107583.1
072006,2019,258.9
072006,2019,81775.3
072006,2020,574.0
072006,2020,181523.1
072006,2020,335.1
072006,2020,105982.9
072006,2020,238.9
072006,2020,75540.2
072006,2021,551.5
072006,2021,174593.8
072006,2021,340.0
072006,2021,107637.3
072006,2021,211.5
072006,2021,66956.5
072006,2022,554.8
072006,2022,175513.1
072006,2022,332.9
072006,2022,105314.9
072006,2022,221.9
072006,2022,70198.2
072006,2023,542.5
072006,2023,171691.1
072006,2023,308.0
072006,2023,97476.6
072006,2023,234.5
072006,2023,74214.5
073027,2010,594.6
073027,2010,119648.0
073027,2010,546.3
073027,2010,109923.0
073027,2010,48.3
073027,2010,9724.9
073027,2011,566.3
073027,2011,113532.3
073027,2011,518.0
073027,2011,103845.5
073027,2011,48.3
073027,2011,9686.8
073027,2012,521.8
073027,2012,104220.8
073027,2012,480.6
073027,2012,95993.1
073027,2012,41.2
073027,2012,8227.7
073027,2013,537.4
073027,2013,106917.1
073027,2013,482.5
073027,2013,95996.6
073027,2013,54.9
073027,2013,10920.5
073027,2014,548.6
073027,2014,108658.2
073027,2014,487.0
073027,2014,96449.6
073027,2014,61.6
073027,2014,12208.7
073027,2015,528.1
073027,2015,104093.4
073027,2015,439.7
073027,2015,86672.5
073027,2015,88.4
073027,2015,17421.0
073027,2016,525.9
073027,2016,103111.1
073027,2016,438.0
073027,2016,85875.4
073027,2016,87.9
073027,2016,17235.8
073027,2017,533.1
073027,2017,103844.8
073027,2017,441.4
073027,2017,85995.1
073027,2017,91.6
073027,2017,17849.7
