area_code,school_level,year,enrollment_count,enrollment_total
ITC3,PRI,2018,59997,159625
ITC3,UPP,2018,61284,159625
ITC3,LOW,2019,38247,158922
ITC3,PRI,2019,59281,158922
ITC3,UPP,2019,61394,158922
ITC3,LOW,2020,38543,157781
ITC3,PRI,2020,57908,157781
ITC3,UPP,2020,61330,157781
ITC3,LOW,2021,38096,156798
ITC3,PRI,2021,56301,156798
ITC3,UPP,2021,62401,156798
ITC3,LOW,2022,37774,154804
ITC3,PRI,2022,55377,154804
ITC3,UPP,2022,61653,154804
ITC3,LOW,2023,37261,154017
ITC3,PRI,2023,55063,154017
ITC3,UPP,2023,61693,154017
ITC3,LOW,2024,36927,152836
ITC3,PRI,2024,53852,152836
ITC3,UPP,2024,62057,152836
ITC31,LOW,2015,5234,21816
ITC31,PRI,2015,8333,21816
ITC31,UPP,2015,8249,21816
ITC31,LOW,2016,5181,21616
ITC31,PRI,2016,8250,21616
ITC31,UPP,2016,8185,21616
ITC31,LOW,2017,5243,21457
ITC31,PRI,2017,8129,21457
ITC31,UPP,2017,8085,21457
ITC31,LOW,2018,5252,21407
ITC31,PRI,2018,8149,21407
ITC31,UPP,2018,8006,21407
ITC31,LOW,2019,5248,21133
ITC31,PRI,2019,8000,21133
ITC31,UPP,2019,7885,21133
ITC31,LOW,2020,5210,21014
ITC31,PRI,2020,7860,21014
ITC31,UPP,2020,7944,21014
ITC31,LOW,2021,5202,21000
ITC31,PRI,2021,7665,21000
ITC31,UPP,2021,8133,21000
ITC31,LOW,2022,5117,20828
ITC31,PRI,2022,7573,20828
ITC31,UPP,2022,8138,20828
ITC31,LOW,2023,5130,20880
ITC31,PRI,2023,7655,20880
ITC31,UPP,2023,8095,20880
ITC31,LOW,2024,5082,20742
ITC31,PRI,2024,7557,20742
ITC31,UPP,2024,8103,20742
ITC32,LOW,2015,6919,28780
ITC32,PRI,2015,11080,28780
ITC32,UPP,2015,10781,28780
ITC32,LOW,2016,6977,28766
ITC32,PRI,2016,10931,28766
ITC32,UPP,2016,10858,28766
ITC32,LOW,2017,6966,28705
ITC32,PRI,2017,10766,28705
ITC32,UPP,2017,10973,28705
ITC32,LOW,2018,6918,28569
ITC32,PRI,2018,10583,28569
ITC32,UPP,2018,11068,28569
ITC32,LOW,2019,6940,28491
ITC32,PRI,2019,10385,28491
ITC32,UPP,2019,11166,28491
ITC32,LOW,2020,6870,28171
ITC32,PRI,2020,10115,28171
ITC32,UPP,2020,11186,28171
ITC32,LOW,2021,6785,28077
ITC32,PRI,2021,9833,28077
ITC32,UPP,2021,11459,28077
ITC32,LOW,2022,6590,27643
ITC32,PRI,2022,9698,27643
ITC32,UPP,2022,11355,27643
ITC32,LOW,2023,6516,27329
ITC32,PRI,2023,9521,27329
ITC32,UPP,2023,11292,27329
ITC32,LOW,2024,6495,26990
ITC32,PRI,2024,9165,26990
ITC32,UPP,2024,11330,26990
ITC33,LOW,2015,20938,87752
ITC33,PRI,2015,33517,87752
ITC33,UPP,2015,33297,87752
ITC33,LOW,2016,20713,87619
