DATAFLOW,FREQ,REF_AREA,DATA_TYPE,CPA_ATECO2007_COE,PARTNER_COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,MOTE_CPA_ATECO2007_COE,NOTE_PARTNER_COUNTRY,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2008-05,30811,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2008-06,31443,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2008-07,31520,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2008-08,30365,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2008-09,30561,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2008-10,29898,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2008-11,27394,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2008-12,26925,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2009-01,24359,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2009-02,24642,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2009-03,24204,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2009-04,23397,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2009-05,24087,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2009-06,23762,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2009-07,24542,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2009-08,22539,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2009-09,24887,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2009-10,23867,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2009-11,25267,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2009-12,25047,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2010-01,24916,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2010-02,25939,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2010-03,26968,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2010-04,27166,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2010-05,27178,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2010-06,28485,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2010-07,28329,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2010-08,28736,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2010-09,28893,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2010-10,29529,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2010-11,29118,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2010-12,29518,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2011-01,30838,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2011-02,30697,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2011-03,31033,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2011-04,31305,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2011-05,32214,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2011-06,31114,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2011-07,31736,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2011-08,31643,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2011-09,31848,,,,,,,,,,
IT1:139_176(1.0),M,ITTOT,ESAV,0010,WORLD,2011-10,31035,,,,,,,,,,
