DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC11,JAN,1,TOTAL,1,2023,508864,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC11,JAN,1,TOTAL,1,2024,515347,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC11,JAN,1,TOTAL,1,2025,520495,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC12,JAN,1,TOTAL,1,2019,37284,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC12,JAN,1,TOTAL,1,2020,37397,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC12,JAN,1,TOTAL,1,2021,37091,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC12,JAN,1,TOTAL,1,2022,37435,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC12,JAN,1,TOTAL,1,2023,37922,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC12,JAN,1,TOTAL,1,2024,38333,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC12,JAN,1,TOTAL,1,2025,38781,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC13,JAN,1,TOTAL,1,2019,37498,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC13,JAN,1,TOTAL,1,2020,37403,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC13,JAN,1,TOTAL,1,2021,36871,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC13,JAN,1,TOTAL,1,2022,37163,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC13,JAN,1,TOTAL,1,2023,37370,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC13,JAN,1,TOTAL,1,2024,37580,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC13,JAN,1,TOTAL,1,2025,37870,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC14,JAN,1,TOTAL,1,2019,34954,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC14,JAN,1,TOTAL,1,2020,34814,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC14,JAN,1,TOTAL,1,2021,34640,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC14,JAN,1,TOTAL,1,2022,34753,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC14,JAN,1,TOTAL,1,2023,35089,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC14,JAN,1,TOTAL,1,2024,35324,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC14,JAN,1,TOTAL,1,2025,35352,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC15,JAN,1,TOTAL,1,2019,81058,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC15,JAN,1,TOTAL,1,2020,81479,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC15,JAN,1,TOTAL,1,2021,81766,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC15,JAN,1,TOTAL,1,2022,82258,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC15,JAN,1,TOTAL,1,2023,83676,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC15,JAN,1,TOTAL,1,2024,84856,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC15,JAN,1,TOTAL,1,2025,85690,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC16,JAN,1,TOTAL,1,2019,134316,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC16,JAN,1,TOTAL,1,2020,134924,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC16,JAN,1,TOTAL,1,2021,135800,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC16,JAN,1,TOTAL,1,2022,136206,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC16,JAN,1,TOTAL,1,2023,137551,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC16,JAN,1,TOTAL,1,2024,139291,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC16,JAN,1,TOTAL,1,2025,140369,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC17,JAN,1,TOTAL,1,2019,46196,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC17,JAN,1,TOTAL,1,2020,46136,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC17,JAN,1,TOTAL,1,2021,46014,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC17,JAN,1,TOTAL,1,2022,46319,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC17,JAN,1,TOTAL,1,2023,46913,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC17,JAN,1,TOTAL,1,2024,47013,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC17,JAN,1,TOTAL,1,2025,47425,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC18,JAN,1,TOTAL,1,2019,90502,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC18,JAN,1,TOTAL,1,2020,90358,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC18,JAN,1,TOTAL,1,2021,89497,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC18,JAN,1,TOTAL,1,2022,89853,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC18,JAN,1,TOTAL,1,2023,90750,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC18,JAN,1,TOTAL,1,2024,91911,,,FILTER__ITC1,,,,,,,
