area_code,year,museums_events
4006,2018,500.0
4006,2018,1.0
4006,2019,200.0
4006,2019,1.0
4006,2020,500.0
4006,2020,1.0
4013,2011,2.0
4013,2015,2.0
4013,2017,2.0
4013,2018,52435.0
4013,2018,2.0
4013,2019,57626.0
4013,2019,1.0
4013,2020,31296.0
4013,2020,2.0
4017,2011,1.0
4017,2015,1.0
4017,2017,1.0
4017,2018,150.0
4017,2018,1.0
4017,2019,30.0
4017,2019,1.0
4017,2020,63.0
4017,2020,1.0
4019,2011,9241.0
4019,2011,3.0
4019,2015,10894.0
4019,2015,3.0
4019,2017,20467.0
4019,2017,3.0
4019,2018,19154.0
4019,2018,3.0
4019,2019,21383.0
4019,2019,3.0
4019,2020,3774.0
4019,2020,3.0
4024,2011,1.0
4025,2011,1.0
4025,2015,1.0
4025,2017,1.0
4025,2018,835.0
4025,2018,1.0
4025,2019,1025.0
4025,2019,1.0
4025,2020,79.0
4025,2020,1.0
4028,2011,1830.0
4028,2011,3.0
4028,2015,11800.0
4028,2015,4.0
4028,2017,14735.0
4028,2017,4.0
4028,2018,12000.0
4028,2018,5.0
4028,2019,18267.0
4028,2019,5.0
4028,2020,854.0
4028,2020,5.0
4029,2011,15143.0
4029,2011,3.0
4029,2015,12645.0
4029,2015,3.0
4029,2017,12605.0
4029,2017,3.0
4029,2018,10963.0
4029,2018,3.0
4029,2019,11980.0
4029,2019,3.0
4029,2020,2091.0
4029,2020,3.0
4034,2011,1.0
4034,2015,1.0
4034,2017,1.0
4034,2018,0.0
4034,2018,1.0
4034,2019,2500.0
4034,2019,1.0
4039,2011,1.0
4039,2015,1.0
4039,2017,1.0
4039,2018,1000.0
4039,2018,1.0
4039,2019,1000.0
4039,2019,1.0
4039,2020,100.0
4039,2020,1.0
4040,2011,2.0
4040,2015,1.0
4040,2017,1.0
4040,2018,10000.0
4040,2018,1.0
4040,2019,9855.0
4040,2019,1.0
4040,2020,6398.0
4040,2020,1.0
4047,2011,2.0
4047,2015,2.0
4047,2017,2.0
4047,2018,5252.0
4047,2018,2.0
4047,2019,3500.0
4047,2019,2.0
4047,2020,1483.0
4047,2020,1.0
4053,2011,2.0
4053,2015,2.0
4053,2017,2.0
4053,2018,0.0
4053,2018,1.0
4053,2019,2050.0
4053,2019,3.0
4055,2011,1.0
4060,2015,1.0
4060,2017,1.0
4060,2018,0.0
4060,2018,1.0
4060,2019,764.0
4060,2019,1.0
4067,2011,1.0
4067,2015,2.0
4067,2017,2.0
4067,2018,25000.0
4067,2018,2.0
4067,2019,24600.0
4067,2019,2.0
4067,2020,3378.0
4067,2020,1.0
4068,2011,12300.0
4068,2011,3.0
4068,2015,11041.0
4068,2015,3.0
4068,2017,2200.0
4068,2017,3.0
4068,2018,1600.0
4068,2018,2.0
4068,2019,1850.0
4068,2019,2.0
4068,2020,460.0
4068,2020,2.0
4071,2011,1.0
4071,2015,1.0
4071,2017,1.0
4071,2018,900.0
4071,2018,1.0
4071,2019,500.0
4071,2019,1.0
4075,2011,2.0
4075,2015,1.0
4078,2011,2.0
4078,2015,43241.0
4078,2015,4.0
4078,2017,24893.0
4078,2017,4.0
4078,2018,35363.0
4078,2018,4.0
4078,2019,40265.0
4078,2019,4.0
4078,2020,8725.0
4078,2020,2.0
4079,2011,2800.0
4079,2011,3.0
4079,2015,1910.0
4079,2015,4.0
4079,2017,530.0
4079,2017,4.0
4079,2018,3200.0
4079,2018,2.0
4079,2019,120.0
4079,2019,2.0
4079,2020,0.0
4079,2020,1.0
4081,2011,1.0
4081,2015,1.0
4081,2017,1.0
4081,2018,1500.0
4081,2018,1.0
4081,2019,1200.0
4081,2019,1.0
4082,2011,1.0
4082,2015,2.0
4082,2017,2.0
4082,2018,3189.0
4082,2018,3.0
4082,2019,3462.0
4082,2019,3.0
4082,2020,891.0
4082,2020,2.0
4083,2011,1.0
4083,2015,1.0
4083,2017,1.0
4083,2018,2500.0
4083,2018,1.0
4083,2019,2500.0
4083,2019,2.0
4083,2020,600.0
4083,2020,1.0
4089,2011,2.0
4089,2015,1.0
4089,2017,1.0
4089,2018,7140.0
4089,2018,2.0
4089,2019,7164.0
4089,2019,2.0
4089,2020,522.0
4089,2020,1.0
4090,2011,2.0
4090,2015,1.0
4090,2018,800.0
4090,2018,1.0
4090,2019,840.0
4090,2019,1.0
4091,2011,1.0
4091,2015,1.0
4091,2017,1.0
4091,2018,200.0
4091,2018,1.0
4091,2019,100.0
4091,2019,1.0
4091,2020,40.0
4091,2020,1.0
4095,2011,1.0
4095,2017,1.0
4095,2018,500.0
4095,2018,1.0
4095,2019,361.0
4095,2019,1.0
4095,2020,24.0
4095,2020,1.0
4099,2011,1.0
4099,2015,1.0
4099,2017,1.0
4099,2018,22000.0
4099,2018,1.0
4099,2019,15000.0
4099,2019,1.0
4099,2020,5037.0
4099,2020,1.0
4100,2011,1.0
4100,2015,1.0
4100,2017,1.0
4100,2018,45000.0
4100,2018,1.0
4100,2019,50280.0
4100,2019,1.0
4100,2020,22160.0
4100,2020,1.0
4101,2018,1562.0
4101,2018,1.0
4101,2019,1.0
4105,2011,1.0
4105,2015,1.0
4105,2018,100.0
4105,2018,1.0
4105,2019,300.0
4105,2019,1.0
4105,2020,120.0
4105,2020,1.0
4106,2011,1.0
4106,2015,1.0
4106,2017,1.0
4106,2018,150.0
4106,2018,1.0
4106,2019,50.0
4106,2019,1.0
4106,2020,0.0
4106,2020,1.0
4113,2011,1.0
4113,2015,1.0
4113,2017,1.0
4113,2018,1773.0
4113,2018,1.0
4113,2019,1162.0
4113,2019,1.0
4113,2020,811.0
4113,2020,1.0
4115,2011,1.0
4116,2011,1.0
4116,2015,1.0
4116,2017,1.0
4116,2018,33261.0
4116,2018,1.0
4116,2019,36852.0
4116,2019,1.0
4116,2020,9831.0
4116,2020,1.0
4121,2011,1.0
4121,2015,1.0
4121,2017,1.0
4121,2018,309.0
4121,2018,1.0
4121,2019,500.0
4121,2019,1.0
4121,2020,0.0
4121,2020,1.0
4124,2017,1.0
4124,2018,500.0
4124,2018,1.0
4124,2019,200.0
4124,2019,1.0
