area_code,year,tourism_support_level
ITC31,2015,141465.07407407407
ITC31,2016,134682.66666666666
ITC31,2017,139199.4871794872
ITC31,2018,136064.99145299144
ITC31,2019,139359.89743589744
ITC31,2020,76660.99145299145
ITC31,2021,99905.64102564103
ITC31,2022,138968.92307692306
ITC31,2023,145354.97435897434
ITC31,2024,148091.82905982906
ITC32,2008,251742.59259259258
ITC32,2009,248034.96296296295
ITC32,2010,240845.11111111112
ITC32,2011,242506.5185185185
ITC32,2012,232852.55555555556
ITC32,2013,221625.2962962963
ITC32,2014,235469.40740740742
ITC32,2015,245017.59259259258
ITC32,2016,235841.60683760684
ITC32,2017,240325.09401709403
ITC32,2018,230940.64957264956
ITC32,2019,226828.71794871794
ITC32,2020,135265.91452991453
ITC32,2021,177747.24786324787
ITC32,2022,220866.49572649572
ITC32,2023,223362.32478632478
ITC32,2024,222801.09401709403
ITC33,2008,172478.96296296295
ITC33,2009,173085.77777777778
ITC33,2010,180159.03703703705
ITC33,2011,187024.22222222222
ITC33,2012,176363.22222222222
ITC33,2013,179478.03703703705
ITC33,2014,185677.33333333334
ITC33,2015,197238.55555555556
ITC33,2016,188579.82905982906
ITC33,2017,196249.4358974359
ITC33,2018,195506.18803418803
ITC33,2019,194106.5641025641
ITC33,2020,100670.05128205128
ITC33,2021,150906.46153846153
ITC33,2022,205388.47863247863
ITC33,2023,219913.4700854701
ITC33,2024,219826.18803418803
ITC34,2008,82716.92592592593
ITC34,2009,86373.77777777778
ITC34,2010,82321.03703703704
ITC34,2011,89274.0
ITC34,2012,81384.07407407407
ITC34,2013,89976.66666666667
ITC34,2014,94789.25925925926
ITC34,2015,108421.66666666667
ITC34,2016,109483.79487179487
ITC34,2017,117270.2564102564
ITC34,2018,117900.99145299145
ITC34,2019,119113.64102564103
ITC34,2020,62133.53846153846
ITC34,2021,94032.13675213675
ITC34,2022,130301.02564102564
ITC34,2023,139030.0170940171
ITC34,2024,137861.05982905984
ITC4,2008,1447490.111111111
ITC4,2009,1513554.3333333333
ITC4,2010,1608363.111111111
ITC4,2011,1717867.4444444445
ITC4,2012,1739355.888888889
ITC4,2013,1761935.0740740742
ITC4,2014,1792039.111111111
ITC4,2015,1981349.4074074074
ITC4,2016,1798424.1025641025
ITC4,2017,1912604.717948718
ITC4,2018,1910187.4188034188
ITC4,2019,1982646.1538461538
ITC4,2020,731122.8717948718
ITC4,2021,1161949.811965812
ITC4,2022,1837390.3247863248
ITC4,2023,2025225.8461538462
ITC4,2024,2180044.2393162395
ITC41,2008,85473.85185185185
ITC41,2009,88570.70370370371
ITC41,2010,94038.33333333333
ITC41,2011,101075.25925925926
ITC41,2012,108738.33333333333
ITC41,2013,109222.0
ITC41,2014,113231.70370370371
ITC41,2015,128236.5925925926
ITC41,2016,120663.04273504273
ITC41,2017,130502.83760683761
ITC41,2018,119811.38461538461
ITC41,2019,125689.33333333333
ITC41,2020,47164.51282051282
ITC41,2021,62149.230769230766
ITC41,2022,97798.73504273505
ITC41,2023,122336.30769230769
ITC41,2024,138497.05982905984
ITC42,2008,114981.66666666667
ITC42,2009,119423.88888888889
ITC42,2010,129355.74074074074
ITC42,2011,138096.07407407407
ITC42,2012,138598.03703703705
ITC42,2013,134655.03703703705
ITC42,2014,132137.62962962964
ITC42,2015,141807.2962962963
ITC42,2016,136649.91452991453
ITC42,2017,147261.7094017094
ITC42,2018,154952.68376068375
ITC42,2019,161621.84615384616
ITC42,2020,58156.27350427351
ITC42,2021,134062.05128205128
ITC42,2022,154164.20512820513
ITC42,2023,163356.0
ITC42,2024,171342.05128205128
ITC43,2008,22888.296296296296
ITC43,2009,22984.962962962964
ITC43,2010,23774.925925925927
ITC43,2011,26596.185185185186
ITC43,2012,25840.703703703704
ITC43,2013,25865.25925925926
ITC43,2014,25383.185185185186
ITC43,2015,28142.51851851852
ITC43,2016,27129.675213675215
ITC43,2017,29136.581196581195
ITC43,2018,28240.71794871795
ITC43,2019,31211.760683760684
ITC43,2020,14620.17094017094
ITC43,2021,24812.71794871795
ITC43,2022,35704.820512820515
ITC43,2023,40446.2905982906
ITC43,2024,41155.24786324786
ITC44,2008,111626.62962962964
ITC44,2009,114578.74074074074
ITC44,2010,115947.37037037036
ITC44,2011,120076.25925925926
ITC44,2012,118891.70370370371
ITC44,2013,117218.0
ITC44,2014,119333.5925925926
ITC44,2015,121899.07407407407
ITC44,2016,107896.78632478633
ITC44,2017,101485.4017094017
ITC44,2018,123514.49572649572
ITC44,2019,136203.7606837607
ITC44,2020,79985.47008547008
ITC44,2021,80762.73504273505
ITC44,2022,148466.94017094016
ITC44,2023,143960.92307692306
ITC44,2024,164074.76923076922
ITC45,2008,579833.4814814815
ITC45,2009,621501.5555555555
ITC45,2010,640102.6296296297
ITC45,2011,691036.8148148148
ITC45,2012,697801.5555555555
ITC45,2013,737287.8888888889
ITC45,2014,758345.8888888889
ITC45,2015,860854.8888888889
ITC45,2016,730785.9487179487
ITC45,2017,787023.5897435897
ITC45,2018,801258.7008547009
ITC45,2019,835590.1196581196
ITC45,2020,224592.8205128205
ITC45,2021,334826.6324786325
ITC45,2022,664400.5811965812
ITC45,2023,815738.2905982906
ITC45,2024,896935.7264957265
ITC46,2008,88653.29629629629
ITC46,2009,88506.11111111111
ITC46,2010,97520.74074074074
ITC46,2011,106257.92592592593
ITC46,2012,104388.74074074074
ITC46,2013,98700.25925925926
ITC46,2014,102684.70370370371
ITC46,2015,115449.14814814815
ITC46,2016,106885.36752136752
ITC46,2017,119523.45299145298
ITC46,2018,115219.52136752137
ITC46,2019,117258.08547008547
ITC46,2020,45809.26495726496
ITC46,2021,76117.77777777778
ITC46,2022,109728.82051282052
ITC46,2023,126767.79487179487
ITC46,2024,136046.22222222222
ITC47,2008,362320.2962962963
ITC47,2009,379300.14814814815
ITC47,2010,388201.51851851854
ITC47,2011,400390.4074074074
ITC47,2012,408015.77777777775
ITC47,2013,414910.25925925927
ITC47,2014,413141.44444444444
ITC47,2015,434757.51851851854
ITC47,2016,434355.3846153846
ITC47,2017,453763.55555555556
ITC47,2018,426863.62393162394
ITC47,2019,426170.7008547009
ITC47,2020,194595.11111111112
ITC47,2021,338804.5128205128
ITC47,2022,482773.9487179487
ITC47,2023,467936.64957264956
ITC47,2024,486093.77777777775
ITC48,2008,25705.666666666668
ITC48,2009,22758.51851851852
ITC48,2010,21197.222222222223
ITC48,2011,29557.25925925926
ITC48,2012,29475.25925925926
ITC48,2013,22995.296296296296
ITC48,2014,22053.666666666668
ITC48,2015,30489.296296296296
ITC48,2016,25872.239316239316
ITC48,2017,27484.410256410258
ITC48,2018,24869.196581196582
ITC48,2019,24649.641025641027
ITC48,2020,12552.615384615385
ITC48,2021,17922.529914529914
ITC48,2022,22671.418803418805
ITC48,2023,25708.68376068376
ITC48,2024,26340.034188034188
ITC49,2008,11296.185185185184
ITC49,2009,12426.525
ITC49,2010,12570.814814814816
ITC49,2011,12813.25925925926
ITC49,2012,12707.444444444445
ITC49,2013,12963.333333333334
ITC49,2014,13216.185185185184
ITC49,2015,13276.703703703704
ITC49,2016,11691.247863247863
ITC49,2017,12328.51282051282
ITC49,2018,12411.623931623932
ITC49,2019,12277.74358974359
ITC49,2020,5618.128755364807
ITC49,2021,7314.290598290599
ITC49,2022,7284.820512820513
ITC49,2023,7930.427350427351
ITC49,2024,8649.299145299145
ITC4A,2008,19461.11111111111
ITC4A,2009,19172.925925925927
ITC4A,2010,20421.11111111111
ITC4A,2011,21978.48148148148
ITC4A,2012,20053.62962962963
ITC4A,2013,18566.333333333332
ITC4A,2014,17309.48148148148
ITC4A,2015,20271.62962962963
ITC4A,2016,18895.897435897437
ITC4A,2017,19356.068376068375
ITC4A,2018,20373.982905982906
ITC4A,2019,20359.760683760684
ITC4A,2020,9192.17094017094
ITC4A,2021,18116.991452991453
ITC4A,2022,19499.008547008547
ITC4A,2023,21608.71794871795
ITC4A,2024,21958.358974358973
ITC4B,2008,25249.62962962963
ITC4B,2009,24483.666666666668
ITC4B,2010,23380.296296296296
ITC4B,2011,23731.074074074073
ITC4B,2012,26018.48148148148
ITC4B,2013,27229.51851851852
ITC4B,2014,28304.333333333332
ITC4B,2015,28505.14814814815
ITC4B,2016,30683.69230769231
ITC4B,2017,31974.529914529914
ITC4B,2018,31459.62393162393
ITC4B,2019,33605.94871794872
ITC4B,2020,14054.324786324787
ITC4B,2021,23991.452991452992
ITC4B,2022,31034.08547008547
ITC4B,2023,32262.25641025641
ITC4B,2024,35151.794871794875
ITD1,2008,1225512.1851851852
ITD1,2009,1245072.4444444445
ITD1,2010,1269099.8148148148
ITD1,2011,1286145.0
ITD1,2012,1312699.1851851852
ITD1,2013,1298434.2592592593
ITD1,2014,1280311.0740740742
ITD1,2015,1330664.2962962964
ITD1,2016,1309833.264957265
ITD1,2017,1357048.0683760685
ITD1,2018,1393843.623931624
ITD1,2019,1413249.4017094017
ITD1,2020,899977.5726495726
ITD1,2021,995448.0
ITD1,2022,1446092.4444444445
ITD1,2023,1521881.5384615385
ITD1,2024,1564665.8461538462
ITD10,2008,1225512.1851851852
ITD10,2009,1245072.4444444445
ITD10,2010,1269099.8148148148
ITD10,2011,1286145.0
ITD10,2012,1312699.1851851852
ITD10,2013,1298434.2592592593
ITD10,2014,1280311.0740740742
ITD10,2015,1330664.2962962964
ITD10,2016,1309833.264957265
ITD10,2017,1357048.0683760685
ITD10,2018,1393843.623931624
ITD10,2019,1413249.4017094017
ITD10,2020,899977.5726495726
ITD10,2021,995448.0
ITD10,2022,1446092.4444444445
ITD10,2023,1521881.5384615385
ITD10,2024,1564665.8461538462
ITD2,2008,664349.4814814815
ITD2,2009,680757.7037037037
ITD2,2010,681160.1481481482
ITD2,2011,689445.3333333334
ITD2,2012,700351.3703703703
ITD2,2013,701229.7037037037
ITD2,2014,698823.6296296297
ITD2,2015,735351.3703703703
ITD2,2016,716968.8547008547
ITD2,2017,754400.9572649573
ITD2,2018,771687.2136752136
ITD2,2019,784930.9401709401
ITD2,2020,494468.3418803419
ITD2,2021,510688.17094017094
ITD2,2022,760774.0170940171
ITD2,2023,820560.8888888889
ITD2,2024,841539.3504273504
ITD20,2008,664349.4814814815
ITD20,2009,680757.7037037037
ITD20,2010,681160.1481481482
ITD20,2011,689445.3333333334
ITD20,2012,700351.3703703703
ITD20,2013,701229.7037037037
ITD20,2014,698823.6296296297
ITD20,2015,735351.3703703703
ITD20,2016,716968.8547008547
ITD20,2017,754400.9572649573
ITD20,2018,771687.2136752136
ITD20,2019,784930.9401709401
ITD20,2020,494468.3418803419
ITD20,2021,510688.17094017094
ITD20,2022,760774.0170940171
ITD20,2023,820560.8888888889
ITD20,2024,841539.3504273504
ITD3,2008,2768035.185185185
ITD3,2009,2755169.703703704
ITD3,2010,2792734.296296296
ITD3,2011,2932108.407407407
ITD3,2012,2895234.111111111
ITD3,2013,2871148.703703704
ITD3,2014,2893558.814814815
ITD3,2015,2982002.4444444445
ITD3,2016,2846117.128205128
ITD3,2017,3020740.8547008545
ITD3,2018,3035639.0427350425
ITD3,2019,3125855.8974358975
ITD3,2020,1379570.6666666667
ITD3,2021,2136461.982905983
ITD3,2022,2873911.623931624
ITD3,2023,3177984.341880342
