area_code,vocational_training_attendance,year,value
IT110,1,2024,5593.060596395404
IT110,9,2024,169789.00058448664
IT111,0,2024,146020.23301545574
IT111,1,2024,6519.766993833332
IT111,9,2024,152540.00000928907
ITC,0,2024,6859155.630822672
ITC,1,2024,408618.372715412
ITC,9,2024,7267774.003538084
ITC1,0,2024,1853447.198229041
ITC1,1,2024,105426.80179915144
ITC1,9,2024,1958874.0000281923
ITC11,0,2024,961433.3066730194
ITC11,1,2024,59557.69333437246
ITC11,9,2024,1020991.000007392
ITC12,0,2024,73174.87791610346
ITC12,1,2024,3421.122094163451
ITC12,9,2024,76596.00001026691
ITC13,0,2024,75568.41938151416
ITC13,1,2024,3894.5806229929017
ITC13,9,2024,79463.00000450706
ITC14,0,2024,68556.1524155261
ITC14,1,2024,3098.8475845242046
ITC14,9,2024,71655.00000005029
ITC15,0,2024,157332.91437982977
ITC15,1,2024,9114.08562521044
ITC15,9,2024,166447.00000504023
ITC16,0,2024,246368.9640717758
ITC16,1,2024,13346.035928224514
ITC16,9,2024,259715.00000000032
ITC17,0,2024,90337.72453528746
ITC17,1,2024,4606.275464724978
ITC17,9,2024,94944.00000001244
ITC18,0,2024,180674.8388559846
ITC18,1,2024,8388.161144938489
ITC18,9,2024,189063.0000009231
ITC2,0,2024,51940.73490672206
ITC2,1,2024,4252.26509327938
ITC2,9,2024,56193.00000000143
ITC20,0,2024,51940.73490672206
ITC20,1,2024,4252.26509327938
ITC20,9,2024,56193.00000000143
ITC3,0,2024,673731.2898253995
ITC3,1,2024,35836.71066191803
ITC3,9,2024,709568.0004873176
ITC31,0,2024,92898.5404474795
ITC31,1,2024,4468.459574476475
ITC31,9,2024,97367.000021956
ITC32,0,2024,119539.96355550684
ITC32,1,2024,6472.036445018659
ITC32,9,2024,126012.00000052551
ITC33,0,2024,366066.550876105
ITC33,1,2024,20442.449575443607
ITC33,9,2024,386509.0004515487
ITC34,0,2024,95226.23494630808
ITC34,1,2024,4453.765066979287
ITC34,9,2024,99680.00001328738
ITC4,0,2024,4280036.407861509
ITC4,1,2024,263102.5951610631
ITC4,9,2024,4543139.003022573
ITC41,0,2024,380722.5962628004
ITC41,1,2024,22553.40373720041
ITC41,9,2024,403276.0000000008
ITC42,0,2024,257458.549702146
ITC42,1,2024,13889.450306235942
ITC42,9,2024,271348.0000083819
ITC43,0,2024,142031.6208346131
ITC43,1,2024,8721.379167300627
ITC43,9,2024,150753.00000191372
ITC44,0,2024,76565.6328849591
ITC44,1,2024,4453.367115049572
ITC44,9,2024,81019.00000000867
ITC45,0,2024,1393529.6122058744
ITC45,1,2024,90288.38908620496
ITC45,9,2024,1483818.0012920797
ITC46,0,2024,467268.2460725455
ITC46,1,2024,29155.75392745616
ITC46,9,2024,496424.0000000016
