area_code,year,housing_urban_development_support
ITD4,2010,161.5
ITD4,2011,167.2
ITD4,2012,168.65
ITD4,2013,165.75
ITD4,2014,166.75
ITD4,2015,160.35
ITD4,2016,160.25
ITD4,2017,150.3
ITD4,2018,150.1
ITD4,2019,161.1
ITD4,2020,156.0
ITD4,2021,160.0
ITD4,2022,171.25
ITD4,2023,163.05
ITD4,2024,147.9
ITD4,2025,172.35
ITD5,2004,170.45
ITD5,2005,182.75
ITD5,2006,189.85
ITD5,2007,205.65
ITD5,2008,213.35
ITD5,2009,205.95
ITD5,2010,197.6
ITD5,2011,198.05
ITD5,2012,195.25
ITD5,2013,199.5
ITD5,2014,191.0
ITD5,2015,188.9
ITD5,2016,184.65
ITD5,2017,173.75
ITD5,2018,179.35
ITD5,2019,179.0
ITD5,2020,174.8
ITD5,2021,175.9
ITD5,2022,177.7
ITD5,2023,197.95
ITD5,2024,185.0
ITD5,2025,201.65
ITE,2004,156.25
ITE,2005,168.55
ITE,2006,169.5
ITE,2007,174.9
ITE,2008,188.3
ITE,2009,174.8
ITE,2010,173.7
ITE,2011,174.85
ITE,2012,168.6
ITE,2013,180.8
ITE,2014,172.45
ITE,2015,166.3
ITE,2016,172.9
ITE,2017,158.75
ITE,2018,159.6
ITE,2019,160.15
ITE,2020,150.0
ITE,2021,163.6
ITE,2022,168.15
ITE,2023,168.75
ITE,2024,165.5
ITE,2025,180.7
ITE1,2004,160.75
ITE1,2005,177.3
ITE1,2006,176.7
ITE1,2007,187.85
ITE1,2008,197.05
ITE1,2009,174.15
ITE1,2010,174.8
ITE1,2011,178.4
ITE1,2012,169.55
ITE1,2013,188.0
ITE1,2014,180.05
ITE1,2015,168.45
ITE1,2016,179.25
ITE1,2017,166.85
ITE1,2018,163.6
ITE1,2019,162.05
ITE1,2020,159.15
ITE1,2021,169.65
ITE1,2022,174.65
ITE1,2023,173.1
ITE1,2024,166.35
ITE1,2025,186.7
ITE2,2004,132.45
ITE2,2005,154.3
ITE2,2006,149.05
ITE2,2007,161.0
ITE2,2008,171.95
ITE2,2009,167.75
ITE2,2010,156.4
ITE2,2011,151.7
ITE2,2012,149.6
ITE2,2013,166.5
ITE2,2014,164.8
ITE2,2015,155.75
ITE2,2016,158.05
ITE2,2017,146.4
ITE2,2018,145.05
ITE2,2019,151.25
ITE2,2020,148.55
ITE2,2021,160.5
ITE2,2022,165.05
ITE2,2023,171.8
ITE2,2024,168.45
ITE2,2025,173.6
ITE3,2004,147.5
ITE3,2005,154.25
ITE3,2006,159.7
ITE3,2007,160.65
ITE3,2008,172.35
ITE3,2009,163.9
ITE3,2010,153.1
ITE3,2011,162.4
ITE3,2012,159.8
ITE3,2013,159.95
ITE3,2014,152.1
ITE3,2015,153.2
ITE3,2016,157.25
