area_code,year,total_employees,startup_employees,startup_share
ITD20,2012,112840.05,4657.41,4.127444112263332
ITD20,2013,113673.53,4281.72,3.7666816540315065
ITD20,2014,109422.86,4955.7,4.528943951931068
ITD20,2015,110552.56,5107.21,4.619712107978323
ITD20,2016,114612.46,6065.75,5.292400145673516
ITD20,2017,119662.65,6557.96,5.480373366292658
ITD3,2012,1165296.76,74072.5,6.356535308653909
ITD3,2013,1138507.88,65098.27,5.717858536034024
ITD3,2014,1124392.94,68787.21,6.117719842673506
ITD3,2015,1146722.21,80088.17,6.984095127973496
ITD3,2016,1178683.17,90134.47,7.647048188530596
ITD3,2017,1221446.89,101968.02,8.348133744890047
ITD31,2012,237112.09,15432.81,6.5086558850710645
ITD31,2013,233798.03,13866.37,5.930918237420564
ITD31,2014,237114.39,15912.28,6.710803169727489
ITD31,2015,239543.7,15426.03,6.439756086258999
ITD31,2016,247618.94,16642.81,6.721137728802168
ITD31,2017,258767.26,34248.28,13.23516738554947
ITD32,2012,228959.33,11244.13,4.910972616839855
ITD32,2013,223210.17,9423.49,4.221801363262256
ITD32,2014,220968.31,11218.9,5.077153370996954
ITD32,2015,221854.7,13058.75,5.8861723461346545
ITD32,2016,225817.0,14265.81,6.317420743345275
ITD32,2017,230212.1,12802.66,5.5612454775400595
ITD33,2012,41346.69,1540.66,3.726199122589982
ITD33,2013,39963.7,1198.16,2.9981207946211192
ITD33,2014,39305.82,1199.66,3.0521179815101176
ITD33,2015,39060.34,1367.15,3.5000975413936493
ITD33,2016,39706.64,1487.02,3.745015946954968
ITD33,2017,39871.53,1873.51,4.698866584753582
ITD34,2012,203344.63,12786.41,6.288049013145811
ITD34,2013,197933.59,10915.87,5.5149153814670875
ITD34,2014,198835.65,10854.93,5.459247373396068
ITD34,2015,201935.78,10426.28,5.163166230372845
ITD34,2016,206966.42,13155.73,6.356456279236022
ITD34,2017,212029.63,13562.41,6.3964692104589345
ITD35,2012,185047.24,14337.88,7.748226885199692
