area_code,year,public_transportation_usage
050026,2007,99.938726543
049009,2007,63.107596492
069022,2007,85.819845499
048017,2007,248.20029671
070006,2007,63.712046535
083048,2007,39.90546983
090064,2007,76.477413396
089017,2007,18.832086636
091051,2007,39.368891448
028060,2007,139.14772376
020030,2007,116.90882997
036023,2007,43.681270607
097042,2007,68.821490284
071024,2007,54.202307507
018110,2007,105.16378607
005005,2007,51.061249242
035033,2007,80.782616525
019036,2007,27.953331794
088009,2007,6.054783348
030129,2007,103.76612033
084001,2007,21.432075376
100005,2007,48.698631428
104025,2007,3.1135012737
012133,2007,71.694276512
006003,2007,39.292816003
108033,2007,43.810443677
017029,2007,171.62296662
105010,2007,2.4437074533
051002,2007,48.576127771
067041,2007,44.489289615
044007,2007,26.180041112
075035,2007,15.044723958
105018,2007,11.785731536
043023,2007,75.540578489
107009,2007,3.6425930935
007003,2007,44.78515231
096004,2007,12.659329186
011015,2007,138.16953174
080063,2007,39.485498545
038008,2007,60.35868893
092009,2007,244.52266089
041044,2007,17.728090299
023091,2007,130.68931948
042002,2007,123.03355281
078045,2007,107.50761512
062008,2007,39.750367691
060038,2007,10.574331329
058091,2007,518.59616534
002158,2007,11.150828444
059011,2007,8.7909981573
079023,2007,44.81248507
025006,2007,92.170739799
040012,2007,48.23731427
077014,2007,19.231250365
004078,2007,45.596724331
014061,2007,6.6075307748
IT,2007,223.22483058
013075,2007,119.37034367
093033,2007,43.405774941
109006,2007,30.721394688
094023,2007,29.500564659
076063,2007,18.977727223
021008,2007,104.56133347
098031,2007,23.063751471
037006,2007,255.35837441
026086,2007,110.46173618
008031,2007,24.226273393
082053,2007,60.618548948
106025,2007,0.0
107003,2007,1.656918463
045010,2007,16.121051311
074001,2007,15.826771217
022205,2007,181.54264447
027042,2007,670.72297914
095038,2007,3.9054157132
039014,2007,40.046905332
024116,2007,70.243808456
081021,2007,40.83914896
072006,2007,64.858554303
046017,2007,25.756467823
047014,2007,57.795057181
073027,2007,76.643873931
099014,2007,88.750235517
032006,2008,339.79308347
033032,2008,80.172618576
085004,2008,10.067783094
101010,2008,9.3056784298
054039,2008,148.18535498
055032,2008,41.398674166
086009,2008,42.952208106
052032,2008,249.90744169
065116,2008,78.984164031
029041,2008,15.578491631
090064,2008,72.615963484
091051,2008,38.387715931
028060,2008,147.27475605
089017,2008,16.150001211
083048,2008,40.030530717
020030,2008,115.61777389
097042,2008,68.35768655
036023,2008,45.413330974
017029,2008,176.33859364
049009,2008,72.263417421
050026,2008,102.40250716
110001,2008,6.8049876319
068028,2008,73.210420972
069022,2008,91.176095007
070006,2008,65.692078136
048017,2008,241.39304927
071024,2008,52.056027231
005005,2008,51.786155212
006003,2008,41.819692786
012133,2008,72.183238125
108033,2008,44.972037042
051002,2008,48.247155863
067041,2008,43.815700778
102047,2008,4.6372675793
100005,2008,48.773381819
084001,2008,13.492492899
035033,2008,78.037053872
019036,2008,27.560392334
034027,2008,168.29360827
088009,2008,7.4346371484
107003,2008,1.6639765712
030129,2008,102.9596194
018110,2008,105.98276021
104025,2008,2.953274971
014061,2008,7.1872964535
106015,2008,0.0
009056,2008,81.353804558
104017,2008,58.885821262
015146,2008,696.08659835
087015,2008,89.99942898
010025,2008,263.64378777
061022,2008,45.703630413
110009,2008,13.324028844
IT,2008,228.18775205
003106,2008,75.131742095
056059,2008,34.005894355
062008,2008,39.893404822
063049,2008,228.3637956
031007,2008,24.834896498
066049,2008,65.618601327
053011,2008,17.633574326
016024,2008,266.99876967
103072,2008,57.670312676
064008,2008,63.503201474
081021,2008,39.77759677
106025,2008,0.0
008031,2008,23.971617605
046017,2008,26.102954353
072006,2008,69.985758441
099014,2008,87.637561827
047014,2008,56.488294314
098031,2008,25.258641569
021008,2008,128.36463456
026086,2008,110.16307797
082053,2008,55.163820518
092009,2008,257.19069697
027042,2008,621.41642135
038008,2008,63.01691817
037006,2008,254.70556745
024116,2008,68.217527933
076063,2008,18.447078115
095038,2008,4.1541017909
080063,2008,38.254516458
105018,2008,13.331428843
043023,2008,76.543439799
044007,2008,26.5583654
075035,2008,16.09924161
096004,2008,17.005915101
011015,2008,143.1533741
107009,2008,3.578011493
007003,2008,44.329675059
022205,2008,191.6667034
073027,2008,75.749516255
045010,2008,14.524813816
074001,2008,15.138865698
025006,2008,94.057911349
