area_code,frequency,year,population,sex,age_group,marital_status
ITD20,A,2021,132457,1,TOTAL,1
ITD20,A,2022,133100,1,TOTAL,1
ITD20,A,2023,135079,1,TOTAL,1
ITD20,A,2024,136726,1,TOTAL,1
ITD20,A,2025,137821,1,TOTAL,1
ITD3,A,2019,1120996,1,TOTAL,1
ITD3,A,2020,1126182,1,TOTAL,1
ITD3,A,2021,1135750,1,TOTAL,1
ITD3,A,2022,1136093,1,TOTAL,1
ITD3,A,2023,1147878,1,TOTAL,1
ITD3,A,2024,1156616,1,TOTAL,1
ITD3,A,2025,1164711,1,TOTAL,1
ITD31,A,2019,212795,1,TOTAL,1
ITD31,A,2020,214428,1,TOTAL,1
ITD31,A,2021,217969,1,TOTAL,1
ITD31,A,2022,217633,1,TOTAL,1
ITD31,A,2023,220029,1,TOTAL,1
ITD31,A,2024,221645,1,TOTAL,1
ITD31,A,2025,223155,1,TOTAL,1
ITD32,A,2019,200794,1,TOTAL,1
ITD32,A,2020,201599,1,TOTAL,1
ITD32,A,2021,203606,1,TOTAL,1
ITD32,A,2022,203945,1,TOTAL,1
ITD32,A,2023,206051,1,TOTAL,1
ITD32,A,2024,207504,1,TOTAL,1
ITD32,A,2025,208730,1,TOTAL,1
ITD33,A,2019,47225,1,TOTAL,1
ITD33,A,2020,47264,1,TOTAL,1
ITD33,A,2021,47206,1,TOTAL,1
ITD33,A,2022,47326,1,TOTAL,1
ITD33,A,2023,47588,1,TOTAL,1
ITD33,A,2024,47958,1,TOTAL,1
ITD33,A,2025,48413,1,TOTAL,1
ITD34,A,2019,205633,1,TOTAL,1
ITD34,A,2020,206463,1,TOTAL,1
ITD34,A,2021,207348,1,TOTAL,1
ITD34,A,2022,207742,1,TOTAL,1
ITD34,A,2023,209999,1,TOTAL,1
ITD34,A,2024,211530,1,TOTAL,1
ITD34,A,2025,212756,1,TOTAL,1
ITD35,A,2019,187673,1,TOTAL,1
ITD35,A,2020,188554,1,TOTAL,1
ITD35,A,2021,189672,1,TOTAL,1
ITD35,A,2022,189033,1,TOTAL,1
ITD35,A,2023,191187,1,TOTAL,1
ITD35,A,2024,192669,1,TOTAL,1
ITD35,A,2025,194080,1,TOTAL,1
ITD36,A,2019,216070,1,TOTAL,1
ITD36,A,2020,217281,1,TOTAL,1
ITD36,A,2021,218929,1,TOTAL,1
ITD36,A,2022,219540,1,TOTAL,1
ITD36,A,2023,221705,1,TOTAL,1
ITD36,A,2024,223682,1,TOTAL,1
ITD36,A,2025,225481,1,TOTAL,1
ITD37,A,2019,50806,1,TOTAL,1
ITD37,A,2020,50593,1,TOTAL,1
ITD37,A,2021,51020,1,TOTAL,1
ITD37,A,2022,50874,1,TOTAL,1
ITD37,A,2023,51319,1,TOTAL,1
ITD37,A,2024,51628,1,TOTAL,1
ITD37,A,2025,52096,1,TOTAL,1
ITD4,A,2019,271430,1,TOTAL,1
ITD4,A,2020,272137,1,TOTAL,1
ITD4,A,2021,274109,1,TOTAL,1
ITD4,A,2022,275362,1,TOTAL,1
ITD4,A,2023,278983,1,TOTAL,1
ITD4,A,2024,281228,1,TOTAL,1
ITD4,A,2025,283036,1,TOTAL,1
ITD41,A,2019,70912,1,TOTAL,1
ITD41,A,2020,71284,1,TOTAL,1
ITD41,A,2021,72056,1,TOTAL,1
ITD41,A,2022,72306,1,TOTAL,1
ITD41,A,2023,73472,1,TOTAL,1
ITD41,A,2024,74090,1,TOTAL,1
ITD41,A,2025,74612,1,TOTAL,1
ITD42,A,2019,118609,1,TOTAL,1
ITD42,A,2020,118558,1,TOTAL,1
ITD42,A,2021,118493,1,TOTAL,1
ITD42,A,2022,118950,1,TOTAL,1
ITD42,A,2023,119980,1,TOTAL,1
ITD42,A,2024,120673,1,TOTAL,1
ITD42,A,2025,121328,1,TOTAL,1
ITD43,A,2019,30737,1,TOTAL,1
ITD43,A,2020,30897,1,TOTAL,1
ITD43,A,2021,31616,1,TOTAL,1
ITD43,A,2022,31633,1,TOTAL,1
ITD43,A,2023,32287,1,TOTAL,1
ITD43,A,2024,32713,1,TOTAL,1
ITD43,A,2025,33004,1,TOTAL,1
ITD44,A,2019,51172,1,TOTAL,1
ITD44,A,2020,51398,1,TOTAL,1
ITD44,A,2021,51944,1,TOTAL,1
ITD44,A,2022,52473,1,TOTAL,1
ITD44,A,2023,53244,1,TOTAL,1
ITD44,A,2024,53752,1,TOTAL,1
ITD44,A,2025,54092,1,TOTAL,1
ITD5,A,2019,1035221,1,TOTAL,1
ITD5,A,2020,1045065,1,TOTAL,1
ITD5,A,2021,1053357,1,TOTAL,1
ITD5,A,2022,1058345,1,TOTAL,1
ITD5,A,2023,1073549,1,TOTAL,1
ITD5,A,2024,1086754,1,TOTAL,1
ITD5,A,2025,1098087,1,TOTAL,1
ITD51,A,2019,65085,1,TOTAL,1
ITD51,A,2020,65594,1,TOTAL,1
ITD51,A,2021,65984,1,TOTAL,1
ITD51,A,2022,66298,1,TOTAL,1
ITD51,A,2023,67393,1,TOTAL,1
ITD51,A,2024,68295,1,TOTAL,1
ITD51,A,2025,69165,1,TOTAL,1
ITD52,A,2019,105349,1,TOTAL,1
ITD52,A,2020,107220,1,TOTAL,1
ITD52,A,2021,107746,1,TOTAL,1
ITD52,A,2022,108289,1,TOTAL,1
ITD52,A,2023,110257,1,TOTAL,1
ITD52,A,2024,111853,1,TOTAL,1
ITD52,A,2025,113124,1,TOTAL,1
ITD53,A,2019,125980,1,TOTAL,1
ITD53,A,2020,126629,1,TOTAL,1
ITD53,A,2021,127529,1,TOTAL,1
ITD53,A,2022,127849,1,TOTAL,1
ITD53,A,2023,129529,1,TOTAL,1
ITD53,A,2024,130777,1,TOTAL,1
ITD53,A,2025,132217,1,TOTAL,1
ITD54,A,2019,167643,1,TOTAL,1
ITD54,A,2020,168992,1,TOTAL,1
ITD54,A,2021,170353,1,TOTAL,1
ITD54,A,2022,171031,1,TOTAL,1
ITD54,A,2023,173017,1,TOTAL,1
ITD54,A,2024,175139,1,TOTAL,1
ITD54,A,2025,177266,1,TOTAL,1
ITD55,A,2019,237855,1,TOTAL,1
ITD55,A,2020,241424,1,TOTAL,1
ITD55,A,2021,243838,1,TOTAL,1
ITD55,A,2022,244862,1,TOTAL,1
ITD55,A,2023,249039,1,TOTAL,1
ITD55,A,2024,252398,1,TOTAL,1
ITD55,A,2025,255179,1,TOTAL,1
ITD56,A,2019,74604,1,TOTAL,1
ITD56,A,2020,75118,1,TOTAL,1
ITD56,A,2021,75505,1,TOTAL,1
ITD56,A,2022,75960,1,TOTAL,1
ITD56,A,2023,77209,1,TOTAL,1
ITD56,A,2024,78272,1,TOTAL,1
ITD56,A,2025,79154,1,TOTAL,1
ITD57,A,2019,89831,1,TOTAL,1
ITD57,A,2020,90090,1,TOTAL,1
ITD57,A,2021,90759,1,TOTAL,1
ITD57,A,2022,91497,1,TOTAL,1
ITD57,A,2023,92430,1,TOTAL,1
ITD57,A,2024,93460,1,TOTAL,1
ITD57,A,2025,93955,1,TOTAL,1
ITD58,A,2019,91307,1,TOTAL,1
ITD58,A,2020,91983,1,TOTAL,1
ITD58,A,2021,92455,1,TOTAL,1
ITD58,A,2022,92727,1,TOTAL,1
ITD58,A,2023,93783,1,TOTAL,1
ITD58,A,2024,94870,1,TOTAL,1
ITD58,A,2025,95787,1,TOTAL,1
ITD59,A,2019,77567,1,TOTAL,1
ITD59,A,2020,78015,1,TOTAL,1
ITD59,A,2021,79188,1,TOTAL,1
ITD59,A,2022,79832,1,TOTAL,1
ITD59,A,2023,80892,1,TOTAL,1
ITD59,A,2024,81690,1,TOTAL,1
ITD59,A,2025,82240,1,TOTAL,1
ITDA,A,2019,271144,1,TOTAL,1
ITDA,A,2020,273556,1,TOTAL,1
ITDA,A,2021,274907,1,TOTAL,1
ITDA,A,2022,275758,1,TOTAL,1
ITDA,A,2023,278521,1,TOTAL,1
ITDA,A,2024,281302,1,TOTAL,1
ITDA,A,2025,283043,1,TOTAL,1
ITE,A,2019,2676651,1,TOTAL,1
ITE,A,2020,2686127,1,TOTAL,1
ITE,A,2021,2698431,1,TOTAL,1
ITE,A,2022,2711972,1,TOTAL,1
ITE,A,2023,2742488,1,TOTAL,1
ITE,A,2024,2762486,1,TOTAL,1
ITE,A,2025,2783568,1,TOTAL,1
ITE1,A,2019,817761,1,TOTAL,1
ITE1,A,2020,821784,1,TOTAL,1
ITE1,A,2021,832406,1,TOTAL,1
ITE1,A,2022,831850,1,TOTAL,1
ITE1,A,2023,842228,1,TOTAL,1
ITE1,A,2024,849417,1,TOTAL,1
ITE1,A,2025,856815,1,TOTAL,1
ITE11,A,2019,41641,1,TOTAL,1
ITE11,A,2020,41616,1,TOTAL,1
ITE11,A,2021,41575,1,TOTAL,1
ITE11,A,2022,41511,1,TOTAL,1
ITE11,A,2023,41685,1,TOTAL,1
ITE11,A,2024,41970,1,TOTAL,1
ITE11,A,2025,42438,1,TOTAL,1
ITE12,A,2019,83525,1,TOTAL,1
ITE12,A,2020,83803,1,TOTAL,1
ITE12,A,2021,84729,1,TOTAL,1
ITE12,A,2022,85138,1,TOTAL,1
ITE12,A,2023,85971,1,TOTAL,1
ITE12,A,2024,86595,1,TOTAL,1
ITE12,A,2025,87259,1,TOTAL,1
ITE13,A,2019,62056,1,TOTAL,1
ITE13,A,2020,62926,1,TOTAL,1
ITE13,A,2021,63395,1,TOTAL,1
ITE13,A,2022,63831,1,TOTAL,1
ITE13,A,2023,64605,1,TOTAL,1
ITE13,A,2024,65356,1,TOTAL,1
ITE13,A,2025,66004,1,TOTAL,1
ITE14,A,2019,229084,1,TOTAL,1
ITE14,A,2020,229637,1,TOTAL,1
ITE14,A,2021,233313,1,TOTAL,1
ITE14,A,2022,232479,1,TOTAL,1
ITE14,A,2023,235746,1,TOTAL,1
ITE14,A,2024,237599,1,TOTAL,1
ITE14,A,2025,239558,1,TOTAL,1
ITE15,A,2019,59239,1,TOTAL,1
ITE15,A,2020,59812,1,TOTAL,1
ITE15,A,2021,62956,1,TOTAL,1
ITE15,A,2022,61411,1,TOTAL,1
ITE15,A,2023,63385,1,TOTAL,1
ITE15,A,2024,64120,1,TOTAL,1
ITE15,A,2025,64339,1,TOTAL,1
ITE16,A,2019,69956,1,TOTAL,1
ITE16,A,2020,70120,1,TOTAL,1
ITE16,A,2021,70132,1,TOTAL,1
ITE16,A,2022,70275,1,TOTAL,1
ITE16,A,2023,71027,1,TOTAL,1
ITE16,A,2024,71618,1,TOTAL,1
ITE16,A,2025,72123,1,TOTAL,1
ITE17,A,2019,92880,1,TOTAL,1
ITE17,A,2020,93509,1,TOTAL,1
ITE17,A,2021,94761,1,TOTAL,1
ITE17,A,2022,95200,1,TOTAL,1
ITE17,A,2023,96132,1,TOTAL,1
ITE17,A,2024,97172,1,TOTAL,1
ITE17,A,2025,98383,1,TOTAL,1
ITE18,A,2019,73723,1,TOTAL,1
ITE18,A,2020,74059,1,TOTAL,1
ITE18,A,2021,74476,1,TOTAL,1
ITE18,A,2022,74834,1,TOTAL,1
ITE18,A,2023,75573,1,TOTAL,1
ITE18,A,2024,76066,1,TOTAL,1
ITE18,A,2025,76981,1,TOTAL,1
ITE19,A,2019,58346,1,TOTAL,1
ITE19,A,2020,58583,1,TOTAL,1
ITE19,A,2021,59111,1,TOTAL,1
ITE19,A,2022,59036,1,TOTAL,1
ITE19,A,2023,59747,1,TOTAL,1
ITE19,A,2024,60407,1,TOTAL,1
ITE19,A,2025,60877,1,TOTAL,1
ITE1A,A,2019,47311,1,TOTAL,1
ITE1A,A,2020,47719,1,TOTAL,1
ITE1A,A,2021,47958,1,TOTAL,1
ITE1A,A,2022,48135,1,TOTAL,1
ITE1A,A,2023,48357,1,TOTAL,1
ITE1A,A,2024,48514,1,TOTAL,1
ITE1A,A,2025,48853,1,TOTAL,1
ITE2,A,2019,189177,1,TOTAL,1
ITE2,A,2020,189643,1,TOTAL,1
ITE2,A,2021,190588,1,TOTAL,1
ITE2,A,2022,191033,1,TOTAL,1
ITE2,A,2023,192618,1,TOTAL,1
ITE2,A,2024,193507,1,TOTAL,1
ITE2,A,2025,195164,1,TOTAL,1
ITE21,A,2019,142638,1,TOTAL,1
ITE21,A,2020,142944,1,TOTAL,1
ITE21,A,2021,144182,1,TOTAL,1
ITE21,A,2022,144377,1,TOTAL,1
ITE21,A,2023,145547,1,TOTAL,1
ITE21,A,2024,146258,1,TOTAL,1
ITE21,A,2025,147494,1,TOTAL,1
ITE22,A,2019,46539,1,TOTAL,1
ITE22,A,2020,46699,1,TOTAL,1
ITE22,A,2021,46406,1,TOTAL,1
ITE22,A,2022,46656,1,TOTAL,1
ITE22,A,2023,47071,1,TOTAL,1
ITE22,A,2024,47249,1,TOTAL,1
ITE22,A,2025,47670,1,TOTAL,1
ITE3,A,2019,341012,1,TOTAL,1
ITE3,A,2020,341798,1,TOTAL,1
ITE3,A,2021,342405,1,TOTAL,1
ITE3,A,2022,342715,1,TOTAL,1
ITE3,A,2023,345581,1,TOTAL,1
ITE3,A,2024,348615,1,TOTAL,1
ITE3,A,2025,351098,1,TOTAL,1
ITE31,A,2019,81654,1,TOTAL,1
ITE31,A,2020,81757,1,TOTAL,1
ITE31,A,2021,82079,1,TOTAL,1
ITE31,A,2022,81890,1,TOTAL,1
ITE31,A,2023,82751,1,TOTAL,1
ITE31,A,2024,83699,1,TOTAL,1
ITE31,A,2025,84119,1,TOTAL,1
ITE32,A,2019,105314,1,TOTAL,1
ITE32,A,2020,105813,1,TOTAL,1
ITE32,A,2021,106441,1,TOTAL,1
ITE32,A,2022,106932,1,TOTAL,1
ITE32,A,2023,107943,1,TOTAL,1
ITE32,A,2024,109232,1,TOTAL,1
ITE32,A,2025,110419,1,TOTAL,1
ITE33,A,2019,69954,1,TOTAL,1
ITE33,A,2020,69973,1,TOTAL,1
ITE33,A,2021,69946,1,TOTAL,1
ITE33,A,2022,69771,1,TOTAL,1
ITE33,A,2023,70328,1,TOTAL,1
ITE33,A,2024,70647,1,TOTAL,1
ITE33,A,2025,70914,1,TOTAL,1
ITE34,A,2019,45703,1,TOTAL,1
ITE34,A,2020,45818,1,TOTAL,1
