area_code,year,waste_recycling_rate
97042,2021,0.0
97042,2022,100.0
97042,2022,0.0
98031,2020,100.0
98031,2020,100.0
98031,2021,100.0
98031,2021,0.0
98031,2022,100.0
98031,2022,0.0
99014,2020,50.0
99014,2020,50.0
99014,2021,50.0
99014,2021,50.0
99014,2022,31.0
99014,2022,69.0
100005,2020,100.0
100005,2020,100.0
100005,2021,100.0
100005,2021,100.0
100005,2022,100.0
100005,2022,100.0
101010,2020,0.0
101010,2020,100.0
101010,2021,20.0
101010,2021,80.0
101010,2022,20.0
101010,2022,80.0
102047,2020,98.0
102047,2020,2.0
102047,2021,97.0
102047,2021,3.0
102047,2022,100.0
102047,2022,100.0
103072,2020,100.0
103072,2020,100.0
103072,2021,100.0
103072,2021,100.0
103072,2022,100.0
103072,2022,0.0
108033,2020,100.0
108033,2020,0.0
108033,2021,100.0
108033,2021,0.0
108033,2022,100.0
108033,2022,0.0
109006,2020,65.0
109006,2020,35.0
109006,2021,71.0
109006,2021,29.0
109006,2022,70.0
109006,2022,30.0
110001,2020,100.0
110001,2020,0.0
110001,2021,100.0
110001,2021,0.0
110001,2022,100.0
110001,2022,0.0
110002,2020,100.0
110002,2020,100.0
110002,2021,100.0
110002,2021,100.0
110002,2022,100.0
110002,2022,100.0
110009,2020,10.0
110009,2020,90.0
110009,2021,100.0
110009,2021,0.0
110009,2022,100.0
110009,2022,0.0
111009,2020,99.0
111009,2020,1.0
111009,2021,99.0
111009,2021,1.0
111009,2022,99.0
111009,2022,1.0
