area_code,year,healthcare_worker_density
ITC,2014,3218.0
ITC,2014,13302.0
ITC,2014,850.0
ITC,2014,12359.0
ITC,2014,1418.0
ITC,2014,1300.0
ITC,2014,4023.0
ITC,2014,10941.0
ITC,2014,1791.0
ITC,2014,86375.0
ITC,2014,1280.0
ITC,2014,2519.0
ITC,2014,28165.0
ITC,2014,1068.0
ITC,2014,4198.0
ITC,2014,1808.0
ITC,2014,2390.0
ITC,2014,18805.0
ITC,2014,46535.0
ITC,2014,2207.0
ITC,2014,58894.0
ITC,2014,1020.0
ITC,2014,1.94
ITC,2014,2.0
ITC,2014,8.28
ITC,2014,0.53
ITC,2014,7.7
ITC,2014,0.88
ITC,2014,0.81
ITC,2014,2.51
ITC,2014,6.81
ITC,2014,1.12
ITC,2014,53.79
ITC,2014,0.8
ITC,2014,1.57
ITC,2014,17.54
ITC,2014,0.67
ITC,2014,2.61
ITC,2014,1.13
ITC,2014,1.49
ITC,2014,11.71
ITC,2014,28.98
ITC,2014,1.37
ITC,2014,36.68
ITC,2014,0.64
ITC,2015,2998.0
ITC,2015,3221.0
ITC,2015,13229.0
ITC,2015,794.0
ITC,2015,12410.0
ITC,2015,1545.0
ITC,2015,1188.0
ITC,2015,4007.0
ITC,2015,10865.0
ITC,2015,1702.0
ITC,2015,88028.0
ITC,2015,1258.0
ITC,2015,2390.0
ITC,2015,27889.0
ITC,2015,1090.0
ITC,2015,4122.0
ITC,2015,1808.0
ITC,2015,2314.0
ITC,2015,18848.0
ITC,2015,45820.0
ITC,2015,2252.0
ITC,2015,58230.0
ITC,2015,1038.0
ITC,2015,1.87
ITC,2015,2.01
ITC,2015,8.25
ITC,2015,0.49
ITC,2015,7.74
ITC,2015,0.96
ITC,2015,0.74
ITC,2015,2.5
ITC,2015,6.77
ITC,2015,1.06
ITC,2015,54.87
ITC,2015,0.78
ITC,2015,1.49
ITC,2015,17.39
ITC,2015,0.68
ITC,2015,2.57
ITC,2015,1.13
ITC,2015,1.44
ITC,2015,11.75
ITC,2015,28.56
ITC,2015,1.4
ITC,2015,36.3
ITC,2015,0.65
ITC,2016,3265.0
ITC,2016,3311.0
ITC,2016,13472.0
ITC,2016,812.0
ITC,2016,12594.0
ITC,2016,1778.0
ITC,2016,1240.0
ITC,2016,4146.0
ITC,2016,10816.0
ITC,2016,1781.0
ITC,2016,87256.0
ITC,2016,1285.0
ITC,2016,2469.0
ITC,2016,26994.0
ITC,2016,1113.0
ITC,2016,4240.0
ITC,2016,1807.0
ITC,2016,2433.0
ITC,2016,19014.0
ITC,2016,47475.0
ITC,2016,2317.0
ITC,2016,60069.0
ITC,2016,1081.0
ITC,2016,2.04
ITC,2016,2.07
ITC,2016,8.41
ITC,2016,0.51
ITC,2016,7.86
ITC,2016,1.11
ITC,2016,0.77
ITC,2016,2.59
ITC,2016,6.75
ITC,2016,1.11
ITC,2016,54.46
ITC,2016,0.8
ITC,2016,1.54
ITC,2016,16.85
ITC,2016,0.69
ITC,2016,2.65
ITC,2016,1.13
ITC,2016,1.52
ITC,2016,11.87
ITC,2016,29.63
ITC,2016,1.45
ITC,2016,37.49
ITC,2016,0.67
ITC,2017,3413.0
ITC,2017,3351.0
ITC,2017,13689.0
ITC,2017,836.0
ITC,2017,12426.0
ITC,2017,1906.0
ITC,2017,1290.0
ITC,2017,4222.0
ITC,2017,10520.0
ITC,2017,1810.0
ITC,2017,91060.0
ITC,2017,1328.0
ITC,2017,2406.0
ITC,2017,27312.0
